IZ2011_Code,Community,Mean SIMD Decile,Number of businesses,Total population,geometry,Number of charities,Female life expectancy,Male life expectancy,Local charities per 1000 people,Businesses per 1000 people,Number of community spaces,Community spaces per 1000 people
S02002460,Whitecrook,2,110,3767,"POLYGON ((251146.66860000044 670044.8599999994, 251226.99959999975 670032, 251367.0005999999 670020, 251358.6765999999 670000, 251358.48809999973 669999.5473999996, 251357.90000000037 669999.5999999996, 251327.8956000004 669929.5898000002, 251306.41029999964 669879.4578000009, 251305.06259999983 669876.3129999992, 251284.48139999993 669828.2897999994, 251263.7081000004 669779.8190000001, 251259.2000000002 669769.3000000007, 251259.58139999956 669768.2145000007, 251259.98919999972 669767.0535000004, 251279.88690000027 669710.4218000006, 251280 669710.0999999996, 251278.26510000043 669709.4574999996, 251266.5 669705.0999999996, 251266.2871000003 669704.8204999994, 251263.20990000013 669700.7815000005, 251261.7000000002 669698.8000000007, 251257.0998999998 669646.5332999993, 251256.43900000025 669639.0239000004, 251255.90000000037 669632.9000000004, 251248.48450000025 669638.7592999991, 251247.7999999998 669639.3000000007, 251244.45249999966 669639.2329999991, 251237.7999999998 669639.0999999996, 251167.7000000002 669606.8000000007, 251169.59300000034 669602.7357999999, 251171.02190000005 669599.6677999999, 251186.40450000018 669566.6403000001, 251195.22109999973 669547.7105, 251203.8345999997 669529.2168000005, 251208.5 669519.1999999993, 251217.40000000037 669500, 251222.2600999996 669491.3635000009, 251230.69259999972 669476.3794, 251231.2999999998 669475.3000000007, 251230.86890000012 669474.9198000003, 251204.7319 669451.8759000003, 251197.5 669445.5, 251171.38100000005 669428.3760000002, 251164.9293999998 669424.1462999992, 251158.2999999998 669419.8000000007, 251121.5181 669403.8379999995, 251121.2000000002 669403.6999999993, 251097.39790000021 669397.6675000004, 251091.09609999973 669396.0704999994, 251070.84109999985 669390.9370000008, 251070.2999999998 669390.8000000007, 251072.7000000002 669376.8000000007, 251086.96789999958 669339.3534999993, 251094.82010000013 669318.7449999992, 251098.7999999998 669308.3000000007, 251081.2000000002 669298.5999999996, 251057.41189999972 669281.0767999999, 251055 669279.3000000007, 251055.1311999997 669277.0823999997, 251055.7999999998 669265.8000000007, 251051.7999999998 669249.5999999996, 251051.7999999998 669249.5380000006, 251051.7999999998 669249.5, 251051.57510000002 669249.4623000007, 251040.5 669247.5999999996, 251037.2999999998 669245.5999999996, 251037.7000000002 669241.9000000004, 251057.62509999983 669223.0193000007, 251062.5 669218.4000000004, 251067 669207.1999999993, 251052.7000000002 669188.1999999993, 251051.09999999963 669181.6999999993, 251056.7999999998 669163.0999999996, 251056.7999999998 669157.4000000004, 251054.7000000002 669152.1999999993, 251043.2999999998 669138.6999999993, 251035.7000000002 669118.8000000007, 251031 669117.0999999996, 251017.2999999998 669117.1999999993, 251005.17459999956 669120.5154999997, 251004.5 669120.6999999993, 250998.7999999998 669124.5, 250996.7999999998 669122.9000000004, 250991.38210000005 669125.7778999992, 250934.2999999998 669156.0999999996, 250894.2128999997 669184.3518000003, 250892.2999999998 669185.6999999993, 250881.5231999997 669174.1535, 250874.09999999963 669166.1999999993, 250865.74260000046 669155.1024999991, 250849.7000000002 669133.8000000007, 250843.32409999985 669120.0283000004, 250840.84059999976 669114.6637999993, 250824.7000000002 669079.8000000007, 250818.32760000043 669064.4589000009, 250805.96640000027 669034.7005000003, 250805.7999999998 669034.3000000007, 250837.80950000044 669021.1510000005, 250859.59999999963 669012.1999999993, 250864.21659999993 669009.6864999998, 250873.5714999996 669004.5932999998, 250877.59999999963 669002.4000000004, 250904.5 668992.9000000004, 250904.59999999963 668977.4000000004, 250908.86840000004 668972.5427999999, 250910.1671000002 668971.0648999996, 250916.30700000003 668964.0782999992, 250919.09999999963 668960.9000000004, 250921.7000000002 668955.0999999996, 250922.90000000037 668944.5999999996, 250930.7000000002 668928.8000000007, 250930.5 668920.4000000004, 250927.5 668914.3000000007, 250920.2000000002 668906.5999999996, 250917.5630999999 668904.6980000008, 250915.6124999998 668903.2909999993, 250908 668897.8000000007, 250891 668896.5999999996, 250876.2999999998 668901.1999999993, 250806.55169999972 668939.8175000008, 250805.5 668940.4000000004, 250805.47559999954 668940.4033000004, 250800.2999999998 668941.0999999996, 250797.7549999999 668940.6203000005, 250788.09999999963 668938.8000000007, 250776.7999999998 668938.5999999996, 250763.90000000037 668941.0999999996, 250748.7999999998 668947.5999999996, 250726.2000000002 668960.8000000007, 250720.2999999998 668967.5999999996, 250717.10360000003 668974.6504999995, 250713.5 668982.5999999996, 250710.7000000002 668984.5, 250709.88910000026 668983.8833000008, 250703.59999999963 668979.0999999996, 250693.7999999998 668960.5999999996, 250682.7000000002 668958.3000000007, 250671.59999999963 668959.4000000004, 250669.95160000026 668960.0545000006, 250658 668964.8000000007, 250642.6015999997 668974.0869999994, 250632.2999999998 668980.3000000007, 250622.2999999998 668984.5, 250614.8914999999 668985.9817999993, 250614.2999999998 668986.0999999996, 250606.77109999955 668985.5979999993, 250600.7999999998 668985.1999999993, 250597.87899999972 668984.0187999997, 250588.0700000003 668980.0517999995, 250587.2000000002 668979.6999999993, 250575.2999999998 668960.4000000004, 250565.5 668939.5999999996, 250537.7999999998 668922.5999999996, 250527 668911.0999999996, 250525.93869999982 668909.4157999996, 250516.09999999963 668893.8000000007, 250505.5 668881.1999999993, 250484.09999999963 668865, 250480.4759999998 668862.2389000002, 250475.7000000002 668858.5999999996, 250468.40000000037 668861.6999999993, 250467.7000000002 668865.0999999996, 250463.5 668864.0999999996, 250458.09999999963 668866.4000000004, 250381.90000000037 668900.0999999996, 250328.5 668926.5, 250300.2000000002 668941.9000000004, 250267.7000000002 668959.5999999996, 250202.7000000002 669000, 250166 669022.1999999993, 250142.5 669033.9000000004, 250032.7000000002 669109.6999999993, 250025.2000000002 669115.1999999993, 250021.7000000002 669124, 250017.7000000002 669129, 250000 669141.4000000004, 249935.2000000002 669191.4000000004, 249870.2999999998 669241.4000000004, 249866.90000000037 669246.0999999996, 249865.40000000037 669252.0999999996, 249868.90000000037 669259.6999999993, 249875.2000000002 669263.5999999996, 249914.7999999998 669260.6999999993, 249968.7999999998 669227, 250000 669207.5999999996, 250329 669000, 250336 668995.5999999996, 250411.2999999998 668947.5999999996, 250413.40000000037 668948.1999999993, 250413.7000000002 668946.6999999993, 250419.7000000002 668948.0999999996, 250419.2999999998 668949.4000000004, 250500 668967.8000000007, 250500 668972.9000000004, 250459.90000000037 669000.0999999996, 250385.2999999998 669049.0999999996, 250384.2000000002 669052.9000000004, 250389.2000000002 669060.8000000007, 250382.5 669065.3000000007, 250311.2000000002 669112.3000000007, 250304.5 669102.4000000004, 250291.7000000002 669110.8000000007, 250287.90000000037 669113.4000000004, 250294.2999999998 669123.0999999996, 250222.2000000002 669170.4000000004, 250215.59999999963 669160.6999999993, 250198.7000000002 669171.9000000004, 250205.2000000002 669181.4000000004, 250193.7000000002 669189.1999999993, 250132.5 669229.3000000007, 250126 669219.5999999996, 250109.5 669230.5999999996, 250115.7999999998 669240.1999999993, 250042 669288.8000000007, 250040.59999999963 669292.3000000007, 250042.90000000037 669301.9000000004, 250044.2000000002 669306.8000000007, 250061.5 669375.3000000007, 250062 669377.5999999996, 250000 669418.6999999993, 249966.78189999983 669440.7103000004, 249975.99959999975 669448.0010000002, 249986.99959999975 669467, 249999.99959999975 669491, 250028.20260000043 669465.7719999999, 250068.20859999955 669435.9600000009, 250127.99959999975 669403, 250158.99959999975 669387, 250195.99959999975 669373, 250240.99959999975 669351, 250274.99959999975 669329, 250355.99959999975 669262.0010000002, 250400.4935999997 669307.3499999996, 250383.11560000014 669324.5580000002, 250392.04459999967 669335.557, 250365.96059999987 669361.6429999992, 250381.99959999975 669381, 250344.99959999975 669422, 250374.5586000001 669446.8560000006, 250388.99959999975 669459, 250285.0996000003 669559.8379999995, 250288.64460000023 669566.4330000002, 250312.40859999973 669591.5559999999, 250314.4305999996 669593.3910000008, 250309.69259999972 669597.6649999991, 250231.80759999994 669673.375, 250220.46059999987 669683.3190000001, 250214.59059999976 669677.4869999997, 250206.17059999984 669667.7019999996, 250185.0845999997 669684.4619999994, 250174.58660000004 669673.0940000005, 250162.99959999975 669657, 250135.99959999975 669631, 250049.99959999975 669703, 250021.13159999996 669725.5779999997, 250008.9645999996 669735.3920000009, 249998.83359999955 669745.523, 249990.16760000028 669754.6889999993, 249985.57160000037 669752.3389999997, 249961.26260000002 669728.4749999996, 249933.78859999962 669703.2640000004, 249928.2845999999 669705.5529999994, 249912.29559999984 669720.3479999993, 249900.6546 669732.8139999993, 249881.86560000014 669743.1290000007, 249902.12760000024 669806.6779999994, 249911.4456000002 669831.716, 249902.99959999975 669840, 249908.62660000008 669851.4550000001, 249830.5296 669919.3880000003, 249860.31259999983 669951, 249852.09059999976 669959.0899999999, 249867.3925999999 669975.7259999998, 249884.4386 669991.1610000003, 249885.6216000002 669992.2320000008, 249893.38260000013 670000, 249898.69259999972 670005.3149999995, 249903.2006000001 670020.9440000001, 249978.99959999975 670018, 249991.05360000022 670072.6190000009, 249999.99959999975 670069.8300000001, 250021.56659999955 670063.1070000008, 250032.26260000002 670060.7060000002, 250037.99959999975 670073, 250061.79260000028 670058.4169999994, 250068.99959999975 670054, 250086.99959999975 670077, 250199.99959999975 670014, 250194.99959999975 670000, 250183.99959999975 669987, 250166.66860000044 669956.3760000002, 250192.5515999999 669940.6380000003, 250174.99959999975 669912, 250303.99959999975 669838, 250318.99959999975 669865, 250414.99959999975 669799, 250431.99959999975 669824, 250454.99959999975 669855, 250484.9676000001 669896.4749999996, 250499.13159999996 669909.5069999993, 250551.99959999975 669858, 250605.99959999975 669807, 250625.7366000004 669789.5059999991, 250664.01159999985 669823.2789999992, 250680.53060000017 669839.7909999993, 250687.46659999993 669845.9010000005, 250696.28060000017 669854.7990000006, 250699.15759999957 669844.8379999995, 250730.10360000003 669874.2599999998, 250705.3206000002 669901.8680000007, 250657.73460000008 669954.0639999993, 250637.99959999975 669976, 250629.50659999996 669988.7050000001, 250620.04860000033 670000, 250609.99959999975 670012, 250583.99959999975 670038, 250526.99959999975 669985.7080000006, 250504.6305999998 670010.057, 250567.99959999975 670070, 250602.10859999992 670102.2640000004, 250604.99959999975 670105, 250660.99959999975 670153, 250662.99959999975 670210, 250682.2466000002 670202.4979999997, 250821.99959999975 670139, 250980.99959999975 670081, 250999.99959999975 670079, 251078.99959999975 670060, 251146.66860000044 670044.8599999994))",4,77,74,1.06,29.0,2,0.53
S02002461,Singer and Clydebank South,2,580,4616,"POLYGON ((248186.4336000001 671214.4189999998, 248200.21360000037 671208.3340000007, 248225.61760000046 671256.3129999992, 248236.7916000001 671277.7929999996, 248242.31759999972 671282.0800000001, 248237.1015999997 671288.1229999997, 248237.25459999964 671289.8220000006, 248228.37660000008 671295.4110000003, 248213.99459999986 671304.4629999995, 248219.3755999999 671315.6559999995, 248232.99959999975 671344, 248255.36959999986 671322.9680000003, 248271.45660000015 671307.8440000005, 248292.59360000025 671287.9710000008, 248309.85560000036 671298.0930000003, 248314.96559999976 671293.2949999999, 248316.4765999997 671294.5050000008, 248333.7095999997 671287.8509999998, 248338.24560000002 671294.091, 248346.0756000001 671291.6720000003, 248343.08160000015 671285.432, 248351.84860000014 671279.9879999999, 248345.95359999966 671270.159, 248352.7555999998 671265.773, 248348.21960000042 671257.4560000002, 248352.15060000028 671253.3729999997, 248349.99959999975 671234, 248355.99959999975 671245, 248375.99959999975 671282, 248390.30059999973 671313.8550000004, 248364.99959999975 671329, 248371.96160000004 671346.2799999993, 248378.7605999997 671356.6199999992, 248385.01260000002 671367.1909999996, 248409.37959999964 671411.2469999995, 248459.99959999975 671382, 248503.99959999975 671358, 248626.15359999985 671303.6040000003, 248631.99959999975 671301, 248665.57459999993 671280.6349999998, 248676.12760000024 671274.2329999991, 248688.72360000014 671267.4509999994, 248770.99959999975 671229, 248798.8755999999 671216.6710000001, 248822.99959999975 671206, 248925.99959999975 671154, 249012.99959999975 671112, 249110.80659999978 671086.1760000009, 249141.20459999982 671079.5580000002, 249313.05960000027 671047.5439999998, 249341.26360000018 671041.3790000007, 249402.04459999967 671023.4210000001, 249441.56859999988 671007.8570000008, 249533.9336000001 670967.6359999999, 249546.99959999975 671000, 249552.99959999975 671011, 249370.66760000028 671096.6469999999, 249341.9576000003 671108.8379999995, 249348.81859999988 671123.9489999991, 249371.4765999997 671132.841, 249382.81759999972 671142.2939999998, 249390.64859999996 671148.2369999997, 249389.02759999968 671150.6669999994, 249397.9386 671157.1490000002, 249411.6716 671147.7449999992, 249420.3515999997 671139.0529999994, 249429.80260000005 671133.3809999991, 249455.99459999986 671126.3579999991, 249480.8376000002 671119.3350000009, 249496.76860000007 671114.2039999999, 249509.46160000004 671107.9920000006, 249521.07160000037 671099.3479999993, 249527.49959999975 671092.9179999996, 249528.7315999996 671091.2650000006, 249531.22360000014 671087.4539999999, 249536.49959999975 671078.5130000003, 249542.51260000002 671071.9179999996, 249548.96360000037 671066.7880000006, 249557.61560000014 671061.5109999999, 249561.42760000005 671059.6060000006, 249563.33359999955 671060.0449999999, 249564.94660000037 671060.6370000001, 249560.2435999997 671072.5160000008, 249570.84559999965 671094.4230000004, 249569.13460000046 671125.2569999993, 249573.23060000036 671124.1689999998, 249574.66160000023 671128.9419999998, 249604.3956000004 671145.0079999994, 249612.99959999975 671150, 249742.99959999975 671137, 249803.84659999982 671133.1209999993, 249812.79260000028 671132.3460000008, 249828.48359999992 671130.9419999998, 249836.18659999967 671130.5549999997, 249855.99260000046 671129.6669999994, 249881.99859999958 671129, 249874.95859999955 671102.398, 249870.22759999987 671079.0580000002, 249814.82359999977 671079.7719999999, 249810.48060000036 671047.3269999996, 249862.53259999957 671041.466, 249855.7536000004 671006.9299999997, 249812.8015999999 671014.2119999994, 249810.99959999975 671000, 249806.51559999958 670982.4910000004, 249848.53160000034 670974.2090000007, 249843.3616000004 670945.3690000009, 249832.7555999998 670904.1260000002, 249860.01860000007 670900.1180000007, 249879.18560000043 670894.7609999999, 249883.9866000004 670868.8249999993, 249910.47360000014 670878.8110000007, 249918.64659999963 670869.5439999998, 249921.56460000016 670867.1559999995, 249932.83660000004 670865.0350000001, 249939.86560000014 670865.5649999995, 249943.9645999996 670865.25, 249966.12459999975 670862.2479999997, 249977.11560000014 670859.2699999996, 249991.76159999985 670855.3019999992, 249999.99959999975 670853.3609999996, 250024.27759999968 670847.6420000009, 250025.90560000017 670853.5899999999, 250034.6135999998 670852.8149999995, 250033.54559999984 670850.2210000008, 250050.99959999975 670810, 250058.99959999975 670807, 250061.99959999975 670793, 250051.99959999975 670783, 250031.99959999975 670787, 250024.50960000046 670777.2479999997, 250021.84460000042 670737.7390000001, 250018.93659999967 670711.3200000003, 250016.99859999958 670703.0789999999, 250035.99959999975 670686, 250158.0005999999 670599, 250179.99959999975 670588, 250224.99959999975 670564.0010000002, 250303.99959999975 670529, 250364.18960000016 670509.6030000001, 250398.4166000001 670498.3499999996, 250436.58160000015 670490.7050000001, 250423.54860000033 670364.1449999996, 250364.96860000025 670371.2219999991, 250233.23259999976 670386.8230000008, 250158.99959999975 670397, 250072.99959999975 670402, 250047.99959999975 670290, 250089.99959999975 670285.0010000002, 250120.99959999975 670285.0010000002, 250319.99959999975 670316.0010000002, 250396.99959999975 670326, 250465.99959999975 670305, 250561.0005999999 670260, 250584.99959999975 670250, 250626.73060000036 670228.5989999995, 250662.99959999975 670210, 250660.99959999975 670153, 250604.99959999975 670105, 250602.10859999992 670102.2640000004, 250567.99959999975 670070, 250504.6305999998 670010.057, 250526.99959999975 669985.7080000006, 250583.99959999975 670038, 250609.99959999975 670012, 250620.04860000033 670000, 250629.50659999996 669988.7050000001, 250637.99959999975 669976, 250657.73460000008 669954.0639999993, 250705.3206000002 669901.8680000007, 250730.10360000003 669874.2599999998, 250699.15759999957 669844.8379999995, 250696.28060000017 669854.7990000006, 250687.46659999993 669845.9010000005, 250680.53060000017 669839.7909999993, 250664.01159999985 669823.2789999992, 250625.7366000004 669789.5059999991, 250605.99959999975 669807, 250551.99959999975 669858, 250499.13159999996 669909.5069999993, 250484.9676000001 669896.4749999996, 250454.99959999975 669855, 250431.99959999975 669824, 250414.99959999975 669799, 250318.99959999975 669865, 250303.99959999975 669838, 250174.99959999975 669912, 250192.5515999999 669940.6380000003, 250166.66860000044 669956.3760000002, 250183.99959999975 669987, 250194.99959999975 670000, 250199.99959999975 670014, 250086.99959999975 670077, 250068.99959999975 670054, 250061.79260000028 670058.4169999994, 250037.99959999975 670073, 250032.26260000002 670060.7060000002, 250021.56659999955 670063.1070000008, 249999.99959999975 670069.8300000001, 249991.05360000022 670072.6190000009, 249978.99959999975 670018, 249903.2006000001 670020.9440000001, 249898.69259999972 670005.3149999995, 249893.38260000013 670000, 249885.6216000002 669992.2320000008, 249884.4386 669991.1610000003, 249867.3925999999 669975.7259999998, 249852.09059999976 669959.0899999999, 249860.31259999983 669951, 249830.5296 669919.3880000003, 249908.62660000008 669851.4550000001, 249902.99959999975 669840, 249911.4456000002 669831.716, 249902.12760000024 669806.6779999994, 249881.86560000014 669743.1290000007, 249900.6546 669732.8139999993, 249912.29559999984 669720.3479999993, 249928.2845999999 669705.5529999994, 249933.78859999962 669703.2640000004, 249961.26260000002 669728.4749999996, 249985.57160000037 669752.3389999997, 249990.16760000028 669754.6889999993, 249998.83359999955 669745.523, 250008.9645999996 669735.3920000009, 250021.13159999996 669725.5779999997, 250049.99959999975 669703, 250135.99959999975 669631, 250162.99959999975 669657, 250174.58660000004 669673.0940000005, 250185.0845999997 669684.4619999994, 250206.17059999984 669667.7019999996, 250214.59059999976 669677.4869999997, 250220.46059999987 669683.3190000001, 250231.80759999994 669673.375, 250309.69259999972 669597.6649999991, 250314.4305999996 669593.3910000008, 250312.40859999973 669591.5559999999, 250288.64460000023 669566.4330000002, 250285.0996000003 669559.8379999995, 250388.99959999975 669459, 250374.5586000001 669446.8560000006, 250344.99959999975 669422, 250381.99959999975 669381, 250365.96059999987 669361.6429999992, 250392.04459999967 669335.557, 250383.11560000014 669324.5580000002, 250400.4935999997 669307.3499999996, 250355.99959999975 669262.0010000002, 250274.99959999975 669329, 250240.99959999975 669351, 250195.99959999975 669373, 250158.99959999975 669387, 250127.99959999975 669403, 250068.20859999955 669435.9600000009, 250028.20260000043 669465.7719999999, 249999.99959999975 669491, 249986.99959999975 669467, 249975.99959999975 669448.0010000002, 249966.78189999983 669440.7103000004, 249909.90000000037 669478.4000000004, 249909.0220999997 669476.8447999991, 249827.59999999963 669332.5999999996, 249827.7000000002 669329.4000000004, 249837.2999999998 669321.9000000004, 249838.59999999963 669318.0999999996, 249837.40000000037 669313, 249831.09999999963 669309.4000000004, 249802.59999999963 669311.4000000004, 249796.59999999963 669314.4000000004, 249781.2999999998 669327.5999999996, 249785.09999999963 669340.5, 249781.2999999998 669345.6999999993, 249781.2000000002 669351.3000000007, 249764.5 669362.9000000004, 249755.90000000037 669366.5999999996, 249746.7000000002 669368.0999999996, 249742.5 669372.1999999993, 249750.2999999998 669420.9000000004, 249719 669440.6999999993, 249693.59999999963 669447.0999999996, 249668.7999999998 669457.9000000004, 249663.2999999998 669464.9000000004, 249655.40000000037 669480.5999999996, 249640.90000000037 669492.0999999996, 249633.7000000002 669500, 249624.59999999963 669513.6999999993, 249614.2000000002 669528.5, 249604.2000000002 669539.4000000004, 249589.09999999963 669556.0999999996, 249582.7000000002 669552, 249560.5 669585.5999999996, 249565.40000000037 669588.5999999996, 249561.7999999998 669613.9000000004, 249560.7999999998 669615.0999999996, 249552.09999999963 669612.5, 249550.7000000002 669625.0999999996, 249562 669668.4000000004, 249623.2000000002 669801.5999999996, 249628.59999999963 669859.8000000007, 249627.7999999998 669871.0999999996, 249624 669873.5999999996, 249618.2999999998 669868.5999999996, 249608.2753999997 669876.5670999996, 249595.40000000037 669886.8000000007, 249590.59999999963 669886, 249585.40000000037 669881.9000000004, 249567.59999999963 669863.5999999996, 249556.2000000002 669849, 249538.7000000002 669823, 249500 669755.9000000004, 249492.40000000037 669744.4000000004, 249486.90000000037 669742.5999999996, 249477.5 669742.5, 249465.40000000037 669755.4000000004, 249460.40000000037 669773.1999999993, 249441.7999999998 669759.4000000004, 249344.2999999998 669891.5999999996, 249385.2999999998 669921, 249333.40000000037 669965.3000000007, 249322.7000000002 669963.9000000004, 249307.7000000002 669958.6999999993, 249298 669958.0999999996, 249294.7999999998 669956.1999999993, 249262.7999999998 670000, 249169.5 670125.1999999993, 249161.5 670133.9000000004, 249162.2000000002 670135.3000000007, 249159.90000000037 670138.4000000004, 249069.09999999963 670256.5999999996, 249070.2000000002 670261.0999999996, 249079.7000000002 670263.4000000004, 249125.2999999998 670319.8000000007, 249126.2000000002 670324.8000000007, 249123.2999999998 670370.5999999996, 249119.2999999998 670372.0999999996, 249076.7000000002 670369.9000000004, 249077.09999999963 670362.5999999996, 249000 670358.0999999996, 248985.7000000002 670357.5, 248984.2999999998 670364.9000000004, 248973.7999999998 670368.4000000004, 248962.40000000037 670375.8000000007, 248961.7000000002 670374.9000000004, 248931.2000000002 670404.4000000004, 248936.2000000002 670412.5999999996, 248895.7999999998 670440.1999999993, 248892.40000000037 670434.8000000007, 248875.40000000037 670446.6999999993, 248864.7000000002 670460.9000000004, 248859.40000000037 670465.0999999996, 248776.7000000002 670500, 248762.9793999996 670505.9552999996, 248500 670620.0999999996, 248298.2999999998 670692, 248251.2999999998 670712.5999999996, 248215.7999999998 670734, 248202.2999999998 670718.8000000007, 248080.5 670745.6999999993, 248079.2999999998 670742.6999999993, 248073 670738.5999999996, 248062.7000000002 670738.5999999996, 248060.2999999998 670733.4000000004, 248000 670743.4000000004, 247938.5 670753.9000000004, 247881.09999999963 670765.6999999993, 247872.2999999998 670766.5999999996, 247864.09999999963 670779.9000000004, 247763.2999999998 670816.5999999996, 247734.5 670806.6999999993, 247730.90000000037 670806.4000000004, 247721.5 670810.1999999993, 247710.7000000002 670814.6999999993, 247710.5 670818.6999999993, 247688 670827.6999999993, 247686.2000000002 670826.5999999996, 247658.90000000037 670838.8000000007, 247605.7000000002 670865.0999999996, 247563.2999999998 670888.6999999993, 247560 670888.1999999993, 247553.7000000002 670912.4000000004, 247557.5 670919.3000000007, 247500 670952.6999999993, 247474.40000000037 670968.1999999993, 247476.7999999998 670972.3000000007, 247431.7000000002 671000, 247405.7999999998 671016.5, 247389.90000000037 671031.1999999993, 247375.09999999963 671043.3000000007, 247372.59999999963 671045.4000000004, 247361.7000000002 671055.1999999993, 247357.7999999998 671057.5999999996, 247353.59999999963 671059.3000000007, 247350.90000000037 671059.5999999996, 247348.2999999998 671059, 247345.7999999998 671057.9000000004, 247343.2999999998 671057.4000000004, 247340.7999999998 671057.6999999993, 247339.90000000037 671058.0999999996, 247338.40000000037 671058.6999999993, 247336.2000000002 671060.1999999993, 247334.09999999963 671061.6999999993, 247332 671063.4000000004, 247331.2999999998 671063.9000000004, 247327.09999999963 671067.5999999996, 247323.5 671072.0999999996, 247320.2999999998 671076.6999999993, 247317.09999999963 671081.4000000004, 247313.59999999963 671085.9000000004, 247312.7999999998 671086.6999999993, 247304.90000000037 671094.6999999993, 247303.59999999963 671096.0999999996, 247293.90000000037 671104.9000000004, 247283.59999999963 671113.0999999996, 247278 671117.0999999996, 247249 671144.3000000007, 247213.5 671180.6999999993, 247175.90000000037 671222.5999999996, 247103 671312.4000000004, 247067.5 671359.5, 247017.2999999998 671432, 247000 671459.5999999996, 246996.09999999963 671466.8000000007, 246989.7000000002 671473.5, 246994.7000000002 671476.3000000007, 246992.40000000037 671480.1999999993, 246990.7000000002 671483.1999999993, 246988.97009999957 671486.2045000009, 246999.99959999975 671489, 247061.0005999999 671511, 247119.99959999975 671540, 247162.99959999975 671595, 247197.99959999975 671631, 247217.99959999975 671669, 247223.99959999975 671704, 247224.99959999975 671727, 247237.5345999999 671755.9690000005, 247257.84059999976 671783.0549999997, 247287.99959999975 671799, 247500.99959999975 671619, 247548.4475999996 671577.9460000005, 247580.59559999965 671545.0040000007, 247619.99959999975 671438, 247663.99959999975 671403.9989999998, 247698.99959999975 671400, 247761.99959999975 671399, 247846.99959999975 671368, 247881.99959999975 671353, 247999.99760000035 671298, 248049.99959999975 671275, 248166.99959999975 671223, 248186.4336000001 671214.4189999998))",16,74,67,3.47,126.0,2,0.43
