Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,0.352,0.65,0.18,"[0.18, 0.65]"
3,0.54,1.0,0.17,"[0.17, 1.0]"
4,0.43,0.91,0.17,"[0.17, 0.91]"
5,0.245,0.29,0.2,"[0.2, 0.29]"
6,0.5,0.86,0.21,"[0.21, 0.86]"
