Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,34.667,126.0,10.0,"[10.0, 126.0]"
3,23.0,35.0,17.0,"[17.0, 35.0]"
4,31.667,38.0,26.0,"[26.0, 38.0]"
5,24.0,27.0,21.0,"[21.0, 27.0]"
6,26.0,53.0,15.0,"[15.0, 53.0]"
