Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,1.588,3.47,1.06,"[1.06, 3.47]"
3,1.42,2.17,0.75,"[0.75, 2.17]"
4,2.033,2.7,1.36,"[1.36, 2.7]"
5,1.185,1.21,1.16,"[1.16, 1.21]"
6,1.632,2.71,0.92,"[0.92, 2.71]"
