Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,0.3,0.3,0.3,"[0.3, 0.3]"
3,0.565,0.68,0.45,"[0.45, 0.68]"
4,0.0,0.0,0.0,"[0.0, 0.0]"
5,0.712,0.81,0.53,"[0.53, 0.81]"
6,0.724,1.28,0.0,"[0.0, 1.28]"
7,0.589,1.42,0.0,"[0.0, 1.42]"
8,0.697,1.66,0.17,"[0.17, 1.66]"
9,0.521,1.05,0.0,"[0.0, 1.05]"
10,0.9,1.32,0.48,"[0.48, 1.32]"
