Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,99.0,99.0,99.0,"[99.0, 99.0]"
3,46.5,77.0,16.0,"[16.0, 77.0]"
4,25.0,25.0,25.0,"[25.0, 25.0]"
5,56.0,79.0,37.0,"[37.0, 79.0]"
6,55.727,103.0,36.0,"[36.0, 103.0]"
7,61.667,97.0,25.0,"[25.0, 97.0]"
8,61.611,93.0,23.0,"[23.0, 93.0]"
9,60.2,93.0,46.0,"[46.0, 93.0]"
10,37.0,38.0,36.0,"[36.0, 38.0]"
