Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,3.86,3.86,3.86,"[3.86, 3.86]"
3,3.15,4.95,1.35,"[1.35, 4.95]"
4,2.54,2.54,2.54,"[2.54, 2.54]"
5,3.746,5.58,2.02,"[2.02, 5.58]"
6,3.711,5.69,1.82,"[1.82, 5.69]"
7,3.959,7.16,2.18,"[2.18, 7.16]"
8,4.23,8.61,0.85,"[0.85, 8.61]"
9,3.594,6.66,0.77,"[0.77, 6.66]"
10,3.205,4.75,1.66,"[1.66, 4.75]"
