Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.51,0.63,0.39,"[0.39, 0.63]"
2,0.412,1.09,0.17,"[0.17, 1.09]"
3,0.394,1.38,0.0,"[0.0, 1.38]"
4,0.312,1.75,0.0,"[0.0, 1.75]"
5,0.265,0.57,0.0,"[0.0, 0.57]"
6,0.278,0.72,0.0,"[0.0, 0.72]"
7,0.26,0.47,0.0,"[0.0, 0.47]"
8,0.46,0.92,0.0,"[0.0, 0.92]"
9,0.0,0.0,0.0,"[0.0, 0.0]"
