Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,1.215,1.26,1.17,"[1.17, 1.26]"
2,1.486,3.5,0.33,"[0.33, 3.5]"
3,0.925,2.56,0.2,"[0.2, 2.56]"
4,1.133,2.88,0.0,"[0.0, 2.88]"
5,1.155,2.01,0.57,"[0.57, 2.01]"
6,1.046,2.31,0.41,"[0.41, 2.31]"
7,1.218,1.73,0.47,"[0.47, 1.73]"
8,1.23,1.23,1.23,"[1.23, 1.23]"
9,1.05,1.81,0.29,"[0.29, 1.81]"
