Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,30.5,38.0,23.0,"[23.0, 38.0]"
2,35.875,113.0,12.0,"[12.0, 113.0]"
3,24.375,45.0,11.0,"[11.0, 45.0]"
4,28.25,81.0,11.0,"[11.0, 81.0]"
5,27.625,44.0,15.0,"[15.0, 44.0]"
6,33.909,95.0,9.0,"[9.0, 95.0]"
7,33.8,49.0,19.0,"[19.0, 49.0]"
8,38.5,51.0,26.0,"[26.0, 51.0]"
9,30.5,33.0,28.0,"[28.0, 33.0]"
