Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,44.333,113.0,27.0,"[27.0, 113.0]"
3,11.0,12.0,10.0,"[10.0, 12.0]"
4,33.25,98.0,13.0,"[13.0, 98.0]"
5,38.4,121.0,11.0,"[11.0, 121.0]"
6,27.0,44.0,11.0,"[11.0, 44.0]"
7,28.6,47.0,12.0,"[12.0, 47.0]"
8,27.0,54.0,13.0,"[13.0, 54.0]"
9,24.75,30.0,18.0,"[18.0, 30.0]"
