Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,1.025,2.21,0.29,"[0.29, 2.21]"
3,0.795,0.85,0.74,"[0.74, 0.85]"
4,0.996,2.42,0.0,"[0.0, 2.42]"
5,1.042,1.68,0.0,"[0.0, 1.68]"
6,1.455,2.07,0.77,"[0.77, 2.07]"
7,1.996,3.54,0.5,"[0.5, 3.54]"
8,1.38,1.77,1.1,"[1.1, 1.77]"
9,2.572,4.27,1.3,"[1.3, 4.27]"
