Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,0.545,1.26,0.0,"[0.0, 1.26]"
3,0.23,0.25,0.21,"[0.21, 0.25]"
4,0.585,1.14,0.29,"[0.29, 1.14]"
5,0.494,0.67,0.27,"[0.27, 0.67]"
6,0.635,1.03,0.18,"[0.18, 1.03]"
7,0.38,0.64,0.0,"[0.0, 0.64]"
8,0.155,0.37,0.0,"[0.0, 0.37]"
9,0.458,1.07,0.0,"[0.0, 1.07]"
