Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Community Development Company of Nesting,60.27225534,-1.17086351,ZE2 9PP,S02002326
North Yell Development Council,60.71344073,-1.02324379,ZE2 9DD,S02002328
Northmavine Community Development Company (NCDC),60.50413033,-1.34409949,ZE2 9RT,S02002327
Unst Partnership Ltd,60.76874841,-0.83410088,ZE2 9TW,S02002328
