Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,1.4,1.4,1.4,"[1.4, 1.4]"
3,1.65,1.65,1.65,"[1.65, 1.65]"
4,1.33,1.33,1.33,"[1.33, 1.33]"
5,1.388,3.54,0.35,"[0.35, 3.54]"
6,1.511,3.69,0.26,"[0.26, 3.69]"
7,0.67,0.67,0.67,"[0.67, 0.67]"
8,0.24,0.24,0.24,"[0.24, 0.24]"
9,0.24,0.24,0.24,"[0.24, 0.24]"
