Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,5.9,5.9,5.9,"[5.9, 5.9]"
3,6.58,6.58,6.58,"[6.58, 6.58]"
4,8.62,8.62,8.62,"[8.62, 8.62]"
5,7.43,11.06,4.8,"[4.8, 11.06]"
6,9.536,19.23,1.55,"[1.55, 19.23]"
7,3.68,3.68,3.68,"[3.68, 3.68]"
8,3.53,3.53,3.53,"[3.53, 3.53]"
9,2.67,2.67,2.67,"[2.67, 2.67]"
