Name,Charity Number,Local authority,Postcode,Latitude,Longitude,IntermediateZone2011Code,DataZone2011Code
Trustees For Glenbarr War Memorial,SC032619,Argyll and Bute,PA29 6XD,55.60090829,-5.68427522,S02001379,S01007329
Kilkenzie And Tangy Community Association,SC035461,Argyll and Bute,PA28 6QD,55.47569833,-5.69158424,S02001379,S01007329
Clachan Youth Club,SC036901,Argyll and Bute,PA29 6XG,55.67572059,-5.64671042,S02001379,S01007329
Killean and Kilchenzie Churches Preservation Association,SC040708,Argyll and Bute,PA29 6XD,55.60090829,-5.68427522,S02001379,S01007329
Tayinloan Youth Club,SC042511,Argyll and Bute,PA29 6XQ,55.65454654,-5.66714771,S02001379,S01007329
The Kintyre Way,SC047608,Argyll and Bute,PA29 6XE,55.59868295,-5.68471752,S02001379,S01007329
Argyll Guides Association,SC000523,Argyll and Bute,PA23 8JY,55.97085945,-4.91385544,S02001385,S01007361
Dunoon Senior Citizens Club,SC020257,Argyll and Bute,PA23 8HQ,55.96201601,-4.91073845,S02001385,S01007361
Cowal Dog Training Club,SC030574,Argyll and Bute,PA23 8JR,55.9641748,-4.91485914,S02001385,S01007361
Girlguiding Cowal,SC038544,Argyll and Bute,PA23 8JY,55.97085945,-4.91385544,S02001385,S01007361
2nd Dunoon Guide Unit,SC038855,Argyll and Bute,PA23 8JY,55.97085945,-4.91385544,S02001385,S01007361
Hunter's Quay Community Association,SC046700,Argyll and Bute,PA23 8JU,55.9691386,-4.91060045,S02001385,S01007361
Holy Cross Episcopal Church,SC000619,Argyll and Bute,PA34 5JJ,56.42085253,-5.46786896,S02001372,S01007299
Oban Pipe Band,SC004610,Argyll and Bute,PA34 5JW,56.42079835,-5.47076768,S02001372,S01007299
"All Saints Episcopal Church, Inveraray",SC025646,Argyll and Bute,PA34 5JJ,56.42085253,-5.46786896,S02001372,S01007299
Oban Youth Café Project,SC032354,Argyll and Bute,PA34 5NY,56.4170732,-5.47344499,S02001372,S01007299
