Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,46.0,46.0,46.0,"[46.0, 46.0]"
3,49.0,49.0,49.0,"[49.0, 49.0]"
4,50.0,50.0,50.0,"[50.0, 50.0]"
5,64.4,102.0,22.0,"[22.0, 102.0]"
6,68.417,117.0,14.0,"[14.0, 117.0]"
7,40.0,40.0,40.0,"[40.0, 40.0]"
8,27.0,27.0,27.0,"[27.0, 27.0]"
9,25.0,25.0,25.0,"[25.0, 25.0]"
