Mean SIMD Decile,Businesses per 1000 people,max,min,Range
3,77.0,144.0,10.0,"[10.0, 144.0]"
4,28.5,44.0,20.0,"[20.0, 44.0]"
5,54.667,71.0,45.0,"[45.0, 71.0]"
6,41.667,47.0,38.0,"[38.0, 47.0]"
7,54.1,80.0,35.0,"[35.0, 80.0]"
8,48.182,68.0,20.0,"[20.0, 68.0]"
9,17.0,17.0,17.0,"[17.0, 17.0]"
10,36.0,36.0,36.0,"[36.0, 36.0]"
