Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
3,0.84,1.12,0.56,"[0.56, 1.12]"
4,0.11,0.27,0.0,"[0.0, 0.27]"
5,0.403,0.51,0.25,"[0.25, 0.51]"
6,0.6,0.66,0.56,"[0.56, 0.66]"
7,0.645,1.49,0.32,"[0.32, 1.49]"
8,0.325,0.79,0.0,"[0.0, 0.79]"
9,0.0,0.0,0.0,"[0.0, 0.0]"
10,0.24,0.24,0.24,"[0.24, 0.24]"
