Mean SIMD Decile,Local charities per 1000 people,max,min,Range
3,5.03,7.83,2.23,"[2.23, 7.83]"
4,1.092,1.89,0.27,"[0.27, 1.89]"
5,4.203,7.14,2.28,"[2.28, 7.14]"
6,2.967,3.32,2.52,"[2.52, 3.32]"
7,4.61,8.54,2.35,"[2.35, 8.54]"
8,3.765,5.63,1.61,"[1.61, 5.63]"
9,2.89,2.89,2.89,"[2.89, 2.89]"
10,3.35,3.35,3.35,"[3.35, 3.35]"
