Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,14.0,18.0,10.0,"[10.0, 18.0]"
2,15.75,44.0,8.0,"[8.0, 44.0]"
3,18.429,46.0,9.0,"[9.0, 46.0]"
4,25.714,62.0,9.0,"[9.0, 62.0]"
5,51.636,318.0,15.0,"[15.0, 318.0]"
6,56.154,233.0,14.0,"[14.0, 233.0]"
7,42.6,97.0,20.0,"[20.0, 97.0]"
8,34.938,129.0,13.0,"[13.0, 129.0]"
9,68.1,315.0,22.0,"[22.0, 315.0]"
10,38.136,103.0,24.0,"[24.0, 103.0]"
