Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.57,0.62,0.52,"[0.52, 0.62]"
2,0.765,1.66,0.28,"[0.28, 1.66]"
3,0.417,0.83,0.0,"[0.0, 0.83]"
4,0.299,0.7,0.0,"[0.0, 0.7]"
5,0.462,1.02,0.0,"[0.0, 1.02]"
6,0.272,0.67,0.0,"[0.0, 0.67]"
7,0.282,0.83,0.0,"[0.0, 0.83]"
8,0.146,0.8,0.0,"[0.0, 0.8]"
9,0.276,0.71,0.0,"[0.0, 0.71]"
10,0.159,0.79,0.0,"[0.0, 0.79]"
