Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,0.805,0.82,0.79,"[0.79, 0.82]"
2,2.086,3.66,1.15,"[1.15, 3.66]"
3,1.669,2.52,1.04,"[1.04, 2.52]"
4,1.56,3.16,0.47,"[0.47, 3.16]"
5,1.814,4.38,0.0,"[0.0, 4.38]"
6,1.888,4.28,0.91,"[0.91, 4.28]"
7,0.874,1.39,0.22,"[0.22, 1.39]"
8,1.843,2.99,1.1,"[1.1, 2.99]"
9,2.184,4.25,0.26,"[0.26, 4.25]"
10,2.142,4.99,0.44,"[0.44, 4.99]"
