Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,0.71,1.01,0.41,"[0.41, 1.01]"
4,1.295,1.67,0.92,"[0.92, 1.67]"
5,0.87,1.69,0.48,"[0.48, 1.69]"
6,1.145,2.04,0.0,"[0.0, 2.04]"
7,0.87,1.3,0.48,"[0.48, 1.3]"
8,0.63,0.63,0.63,"[0.63, 0.63]"
9,0.0,0.0,0.0,"[0.0, 0.0]"
