Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,13.0,14.0,12.0,"[12.0, 14.0]"
4,33.0,40.0,26.0,"[26.0, 40.0]"
5,60.0,91.0,40.0,"[40.0, 91.0]"
6,52.909,81.0,17.0,"[17.0, 81.0]"
7,59.125,85.0,37.0,"[37.0, 85.0]"
8,65.0,65.0,65.0,"[65.0, 65.0]"
9,36.0,36.0,36.0,"[36.0, 36.0]"
