Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,1.595,2.85,0.34,"[0.34, 2.85]"
4,3.62,5.23,2.01,"[2.01, 5.23]"
5,5.318,6.33,3.97,"[3.97, 6.33]"
6,5.784,8.13,3.42,"[3.42, 8.13]"
7,5.559,8.33,2.64,"[2.64, 8.33]"
8,3.48,3.48,3.48,"[3.48, 3.48]"
9,6.57,6.57,6.57,"[6.57, 6.57]"
