Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,4.5,4.5,4.5,"[4.5, 4.5]"
4,3.713,6.45,2.06,"[2.06, 6.45]"
5,1.68,2.59,1.05,"[1.05, 2.59]"
6,0.89,0.89,0.89,"[0.89, 0.89]"
7,1.39,1.39,1.39,"[1.39, 1.39]"
9,1.92,1.92,1.92,"[1.92, 1.92]"
