Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,3.15,3.15,3.15,"[3.15, 3.15]"
4,0.587,1.76,0.0,"[0.0, 1.76]"
5,0.69,0.96,0.18,"[0.18, 0.96]"
6,1.18,1.18,1.18,"[1.18, 1.18]"
7,0.35,0.35,0.35,"[0.35, 0.35]"
9,1.1,1.1,1.1,"[1.1, 1.1]"
