Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,56.0,56.0,56.0,"[56.0, 56.0]"
4,26.667,35.0,21.0,"[21.0, 35.0]"
5,19.2,28.0,11.0,"[11.0, 28.0]"
6,28.0,28.0,28.0,"[28.0, 28.0]"
7,16.0,16.0,16.0,"[16.0, 16.0]"
9,49.0,49.0,49.0,"[49.0, 49.0]"
