Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,4.78,4.78,4.78,"[4.78, 4.78]"
3,1.932,3.64,0.66,"[0.66, 3.64]"
4,2.0,2.91,1.09,"[1.09, 2.91]"
5,1.888,3.12,0.63,"[0.63, 3.12]"
6,2.828,3.5,1.54,"[1.54, 3.5]"
7,2.965,3.48,2.45,"[2.45, 3.48]"
8,1.69,2.25,1.13,"[1.13, 2.25]"
9,2.45,2.45,2.45,"[2.45, 2.45]"
