Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,3.75,3.75,3.75,"[3.75, 3.75]"
3,0.876,1.68,0.44,"[0.44, 1.68]"
4,0.545,0.73,0.36,"[0.36, 0.73]"
5,1.12,2.14,0.78,"[0.78, 2.14]"
6,1.448,2.12,0.88,"[0.88, 2.12]"
7,0.935,1.6,0.27,"[0.27, 1.6]"
8,0.365,0.45,0.28,"[0.28, 0.45]"
9,1.22,1.22,1.22,"[1.22, 1.22]"
