Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Gorebridge Community Development Trust,55.84510787,-3.05043307,EH23 4TT,S02002072
Mayfield & Easthouses Development Trust,55.8746089,-3.04282272,EH22 5DG,S02002069
One Dalkeith,55.89316503,-3.06989649,EH22 1AG,S02002066
Penicuik Community Development Trust Ltd,55.82487732,-3.22205912,EH26 8LL,S02002052
Rosewell Development Trust,55.85067157,-3.13715673,EH24 9AA,S02002051
