Name,Longitude,Latitude,postcode,Local authority
MAYFACS,-3.0402905,55.869026,EH22 5QE,Midlothian
Humbie and Fala Community Resilience,-2.895377,55.86568440000001,EH37 5SS,Midlothian
Tynewater Mutual Aid Network,-2.96815395,55.86673907,EH37 5QD,Midlothian
