Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,60.0,60.0,60.0,"[60.0, 60.0]"
3,14.8,21.0,11.0,"[11.0, 21.0]"
4,26.5,28.0,25.0,"[25.0, 28.0]"
5,45.8,116.0,14.0,"[14.0, 116.0]"
6,25.0,35.0,13.0,"[13.0, 35.0]"
7,36.0,53.0,19.0,"[19.0, 53.0]"
8,47.0,65.0,29.0,"[29.0, 65.0]"
9,61.0,61.0,61.0,"[61.0, 61.0]"
