Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,20.0,27.0,13.0,"[13.0, 27.0]"
3,19.2,35.0,10.0,"[10.0, 35.0]"
4,49.714,246.0,10.0,"[10.0, 246.0]"
5,50.8,117.0,18.0,"[18.0, 117.0]"
6,35.5,43.0,28.0,"[28.0, 43.0]"
7,86.778,309.0,20.0,"[20.0, 309.0]"
8,50.667,71.0,37.0,"[37.0, 71.0]"
9,46.444,77.0,24.0,"[24.0, 77.0]"
10,62.286,207.0,32.0,"[32.0, 207.0]"
