Mean SIMD Decile,Local charities per 1000 people,max,min,Range
2,0.63,0.78,0.48,"[0.48, 0.78]"
3,0.524,0.89,0.0,"[0.0, 0.89]"
4,1.116,4.61,0.0,"[0.0, 4.61]"
5,0.854,1.94,0.31,"[0.31, 1.94]"
6,0.405,0.43,0.38,"[0.38, 0.43]"
7,4.091,28.38,0.51,"[0.51, 28.38]"
8,1.06,1.47,0.51,"[0.51, 1.47]"
9,1.731,3.03,1.21,"[1.21, 3.03]"
10,1.147,2.73,0.5,"[0.5, 2.73]"
