Name,Longitude,Latitude,postcode,Local authority
East Renfrewshire Self-isolation Supporters,-4.335982100000001,55.77047349999999,G77 5AA,East Renfrewshire
East Renfrewshire Volunteer To Help Group,-4.335982100000001,55.77047349999999,G77 5AA,East Renfrewshire
Williamwood Community Support,-4.2755748,55.7762383,G76 8RF,East Renfrewshire
Williamwood Community Support,-4.2755748,55.7762383,G76 8RF,East Renfrewshire
Kirkhill Helpers,-4.336615,55.771176,G77 6AG,East Renfrewshire
Williamwood Community Support,-4.289870899999999,55.7939163,G46 6PP,East Renfrewshire
Quadrant Neighbours Clarkston,-4.2758119,55.784536,G76 7AF,East Renfrewshire
Netherlee Neighbours,-4.2705579,55.8022593,G44 3SQ,East Renfrewshire
