Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
3,1.255,2.27,0.24,"[0.24, 2.27]"
6,0.595,0.95,0.24,"[0.24, 0.95]"
7,0.8,1.46,0.39,"[0.39, 1.46]"
8,0.415,0.83,0.0,"[0.0, 0.83]"
9,0.34,0.81,0.0,"[0.0, 0.81]"
10,0.103,0.43,0.0,"[0.0, 0.43]"
