Mean SIMD Decile,Businesses per 1000 people,max,min,Range
3,23.5,41.0,6.0,"[6.0, 41.0]"
6,23.0,27.0,19.0,"[19.0, 27.0]"
7,40.25,60.0,30.0,"[30.0, 60.0]"
8,28.0,36.0,20.0,"[20.0, 36.0]"
9,24.667,28.0,21.0,"[21.0, 28.0]"
10,36.571,50.0,28.0,"[28.0, 50.0]"
