Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.82,0.82,0.82,"[0.82, 0.82]"
4,0.623,1.05,0.24,"[0.24, 1.05]"
5,0.437,0.81,0.19,"[0.19, 0.81]"
6,1.91,1.91,1.91,"[1.91, 1.91]"
7,0.56,1.15,0.27,"[0.27, 1.15]"
8,0.592,0.7,0.36,"[0.36, 0.7]"
9,0.418,0.54,0.28,"[0.28, 0.54]"
