Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,1.92,1.92,1.92,"[1.92, 1.92]"
4,1.99,5.18,0.95,"[0.95, 5.18]"
5,1.457,1.63,1.25,"[1.25, 1.63]"
6,7.96,7.96,7.96,"[7.96, 7.96]"
7,3.19,5.16,1.19,"[1.19, 5.16]"
8,5.325,6.58,3.94,"[3.94, 6.58]"
9,2.688,4.01,1.06,"[1.06, 4.01]"
