Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,63.0,63.0,63.0,"[63.0, 63.0]"
4,57.833,211.0,17.0,"[17.0, 211.0]"
5,40.667,87.0,17.0,"[17.0, 87.0]"
6,83.0,83.0,83.0,"[83.0, 83.0]"
7,49.0,79.0,28.0,"[28.0, 79.0]"
8,62.5,71.0,56.0,"[56.0, 71.0]"
9,41.4,67.0,21.0,"[21.0, 67.0]"
