Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,1.03,2.06,0.0,"[0.0, 2.06]"
2,1.435,1.57,1.3,"[1.3, 1.57]"
3,0.79,0.79,0.79,"[0.79, 0.79]"
4,2.824,5.73,1.03,"[1.03, 5.73]"
5,2.075,5.22,0.72,"[0.72, 5.22]"
6,1.64,3.03,1.06,"[1.06, 3.03]"
7,1.357,1.7,1.15,"[1.15, 1.7]"
8,1.815,2.26,1.37,"[1.37, 2.26]"
9,3.955,4.41,3.5,"[3.5, 4.41]"
