Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.635,1.03,0.24,"[0.24, 1.03]"
2,0.325,0.65,0.0,"[0.0, 0.65]"
3,0.0,0.0,0.0,"[0.0, 0.0]"
4,0.764,1.51,0.0,"[0.0, 1.51]"
5,0.392,0.77,0.0,"[0.0, 0.77]"
6,0.503,0.8,0.24,"[0.24, 0.8]"
7,0.067,0.2,0.0,"[0.0, 0.2]"
8,0.29,0.38,0.2,"[0.2, 0.38]"
9,0.42,0.5,0.34,"[0.34, 0.5]"
