Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,14.0,16.0,12.0,"[12.0, 16.0]"
2,32.0,61.0,3.0,"[3.0, 61.0]"
3,12.0,12.0,12.0,"[12.0, 12.0]"
4,38.4,72.0,12.0,"[12.0, 72.0]"
5,64.75,173.0,12.0,"[12.0, 173.0]"
6,46.0,68.0,19.0,"[19.0, 68.0]"
7,17.0,18.0,16.0,"[16.0, 18.0]"
8,38.0,62.0,14.0,"[14.0, 62.0]"
9,42.5,54.0,31.0,"[31.0, 54.0]"
