Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
4,0.72,0.72,0.72,"[0.72, 0.72]"
5,0.424,0.93,0.0,"[0.0, 0.93]"
6,0.991,1.69,0.0,"[0.0, 1.69]"
7,0.934,2.21,0.0,"[0.0, 2.21]"
8,0.78,0.91,0.65,"[0.65, 0.91]"
