Mean SIMD Decile,Local charities per 1000 people,max,min,Range
4,4.09,4.09,4.09,"[4.09, 4.09]"
5,3.002,5.35,1.0,"[1.0, 5.35]"
6,4.15,7.22,2.15,"[2.15, 7.22]"
7,4.15,6.36,1.92,"[1.92, 6.36]"
8,3.79,3.99,3.59,"[3.59, 3.99]"
