Mean SIMD Decile,Businesses per 1000 people,max,min,Range
4,72.0,72.0,72.0,"[72.0, 72.0]"
5,43.2,83.0,19.0,"[19.0, 83.0]"
6,47.125,94.0,19.0,"[19.0, 94.0]"
7,38.125,58.0,13.0,"[13.0, 58.0]"
8,42.5,60.0,25.0,"[25.0, 60.0]"
