Mean SIMD Decile,Businesses per 1000 people,max,min,Range
3,11.0,11.0,11.0,"[11.0, 11.0]"
4,26.5,40.0,20.0,"[20.0, 40.0]"
5,33.5,47.0,20.0,"[20.0, 47.0]"
6,24.0,30.0,20.0,"[20.0, 30.0]"
7,37.8,54.0,24.0,"[24.0, 54.0]"
8,51.25,61.0,40.0,"[40.0, 61.0]"
9,70.0,70.0,70.0,"[70.0, 70.0]"
