Mean SIMD Decile,Local charities per 1000 people,max,min,Range
3,0.85,0.85,0.85,"[0.85, 0.85]"
4,2.467,3.7,0.84,"[0.84, 3.7]"
5,3.15,4.64,1.66,"[1.66, 4.64]"
6,1.373,1.95,0.67,"[0.67, 1.95]"
7,3.266,4.93,2.31,"[2.31, 4.93]"
8,3.535,4.17,2.72,"[2.72, 4.17]"
9,4.11,4.11,4.11,"[4.11, 4.11]"
