Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
3,0.85,0.85,0.85,"[0.85, 0.85]"
4,0.7,1.48,0.21,"[0.21, 1.48]"
5,1.595,2.95,0.24,"[0.24, 2.95]"
6,0.173,0.35,0.0,"[0.0, 0.35]"
7,0.542,1.04,0.0,"[0.0, 1.04]"
8,0.522,1.24,0.0,"[0.0, 1.24]"
9,0.95,0.95,0.95,"[0.95, 0.95]"
