Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
2,0.73,0.73,0.73,"[0.73, 0.73]"
4,0.35,0.7,0.0,"[0.0, 0.7]"
5,0.687,0.72,0.64,"[0.64, 0.72]"
6,0.29,0.29,0.29,"[0.29, 0.29]"
7,0.38,0.5,0.29,"[0.29, 0.5]"
8,0.42,1.21,0.0,"[0.0, 1.21]"
9,0.232,0.61,0.0,"[0.0, 0.61]"
10,0.258,0.69,0.0,"[0.0, 0.69]"
