Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Baldernock Community Development  Trust,55.93711473,-4.28262531,G62 6HD,S02001509
Lenzie Community Development Trust,55.91464301,-4.1561793,G66 5AT,S02001524
Milngavie Community Development Trust,55.93791333,-4.33162286,G62 7QA,S02001509
Twechar Community Action,55.95294012,-4.08342403,G65 9TA,S02001530
