Mean SIMD Decile,Businesses per 1000 people,max,min,Range
2,15.0,15.0,15.0,"[15.0, 15.0]"
4,15.5,17.0,14.0,"[14.0, 17.0]"
5,55.333,105.0,30.0,"[30.0, 105.0]"
6,28.0,28.0,28.0,"[28.0, 28.0]"
7,29.0,39.0,20.0,"[20.0, 39.0]"
8,36.5,53.0,23.0,"[23.0, 53.0]"
9,27.889,49.0,14.0,"[14.0, 49.0]"
10,27.2,37.0,12.0,"[12.0, 37.0]"
