Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Bothwell Futures,55.80403783,-4.07254079,G71 8PA,S02002399
Carluke Development Trust,55.73434208,-3.8389272,ML8 4AJ,S02002362
Grow 73,55.81887901,-4.20009195,G73 3RQ,S02002413
Healthy n Happy,55.8285661,-4.21018742,G73 1DL,S02002409
Lanark Community Development Trust,55.67171658,-3.78575365,ML11 9EG,S02002366
Lesmahagow Development Trust,55.63881613,-3.88659428,ML11 0EQ,S02002369
