Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,0.28,0.28,0.28,"[0.28, 0.28]"
2,0.602,1.72,0.0,"[0.0, 1.72]"
3,1.347,3.72,0.0,"[0.0, 3.72]"
4,1.306,2.89,0.0,"[0.0, 2.89]"
5,1.913,4.5,0.0,"[0.0, 4.5]"
6,1.011,3.47,0.0,"[0.0, 3.47]"
7,1.777,4.1,0.22,"[0.22, 4.1]"
8,1.75,2.39,1.13,"[1.13, 2.39]"
9,1.338,2.66,0.29,"[0.29, 2.66]"
