Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.28,0.28,0.28,"[0.28, 0.28]"
2,0.396,1.07,0.0,"[0.0, 1.07]"
3,0.507,0.93,0.0,"[0.0, 0.93]"
4,0.5,1.65,0.0,"[0.0, 1.65]"
5,0.62,3.28,0.0,"[0.0, 3.28]"
6,0.209,0.77,0.0,"[0.0, 0.77]"
7,0.506,1.54,0.12,"[0.12, 1.54]"
8,0.19,0.36,0.0,"[0.0, 0.36]"
9,0.116,0.58,0.0,"[0.0, 0.58]"
