name,coordinates,postcode,Latitude,Longitude
The Ballantrae Trust,"(55.102007, -5.00790716)",KA26 0NQ,55.102007,-5.00790716
The Cabrach Trust,"(57.36697839, -3.02916424)",AB54 4EU,57.36697839,-3.02916424
The Dornoch Area Community Interest Company,"(57.880044, -4.025585)",,57.880044,-4.025585
The Environment Trust (West Dunbartonshire),"(55.9694913, -4.57636951)",G82 3PD,55.9694913,-4.57636951
The Eskdale Foundation,"(55.15371347, -3.00643)",DG13 0BL,55.15371347,-3.00643
The Findhorn Village Conservation Company,"(57.65745403, -3.6068674)",IV36 3YR,57.65745403,-3.6068674
The Garve & District Development Company,"(57.89758022, -5.1636831)",IV26 2XB,57.89758022,-5.1636831
The Girvan Town Team,"(55.24313993, -4.85821059)",KA26 9AG,55.24313993,-4.85821059
The Glendale Trust,"(57.40284494, -6.54492598)",IV55 8ZA,57.40284494,-6.54492598
The Isle of Jura Development Trust,"(55.85267452, -5.94770593)",PA60 7XG,55.85267452,-5.94770593
The Knoydart Foundation,"(57.04052258, -5.69779614)",PH41 4PL,57.04052258,-5.69779614
The Laggan Forest Trust,"(57.00133697, -4.31781942)",PH20 1BU,57.00133697,-4.31781942
The Langholm Alliance,"(55.148938, -2.995484)",DG13 0AN,55.148938,-2.995484
The Langholm Initiative,"(55.14842231, -2.99746272)",DG13 0ES,55.14842231,-2.99746272
The Pairc Trust,"(58.08892704, -6.51736525)",HS2 9QA,58.08892704,-6.51736525
The Pavillion (Greater Easterhouse),"(55.86668158, -4.11457052)",G34 9HX,55.86668158,-4.11457052
The Stornoway Trust,"(58.20948186, -6.38841852)",HS1 2DD,58.20948186,-6.38841852
The Three Kings Cullen Association,"(57.68834837, -2.81595412)",AB56 4AF,57.68834837,-2.81595412
The Vale of Leven Trust,"(55.98554699, -4.57278805)",G83 9HL,55.98554699,-4.57278805
Thenue Housing Association Ltd,"(55.85169798, -4.23316533)",G40 1AG,55.85169798,-4.23316533
Thurso Community Development Trust,"(58.59514274, -3.51985488)",KW14 8AA,58.59514274,-3.51985488
Tighnabruaich District Development Trust,"(55.91354396, -5.22079332)",PA21 2EB,55.91354396,-5.22079332
Tiree Community Development Trust,"(56.49435737, -6.88462794)",PA77 6UP,56.49435737,-6.88462794
Tomintoul & Glenlivet Development Trust,"(57.25143118, -3.3799207)",AB37 9ET,57.25143118,-3.3799207
Torry Development Trust,"(57.14432329, -2.10761438)",AB10 1TN,57.14432329,-2.10761438
Trossachs Community Trust ,"(56.23149744, -4.36647352)",FK17 8HT,56.23149744,-4.36647352
Tullibody Community Development Trust,"(56.13046377, -3.83611995)",FK10 2RS,56.13046377,-3.83611995
Twechar Community Action,"(55.95294012, -4.08342403)",G65 9TA,55.95294012,-4.08342403
Tweedsmuir Community Company,"(55.52092596, -3.4120384)",ML12 6QN,55.52092596,-3.4120384
Udny Community Trust  Company Limited,"(57.33743194, -2.18226789)",AB41 7NY,57.33743194,-2.18226789
Uig Community Trust,"(57.41336293, -6.19705354)",IV51 9ER,57.41336293,-6.19705354
Ullapool Community Trust,"(57.89652339, -5.15812108)",IV26 2UB,57.89652339,-5.15812108
Unst Partnership Ltd,"(60.76874841, -0.83410088)",ZE2 9TW,60.76874841,-0.83410088
Uplawmoor Development Trust,"(55.75353083, -4.49319059)",G78 4BX,55.75353083,-4.49319059
Upper Eskdale Development Group,"(55.27430999, -3.18185609)",DG13 0QJ,55.27430999,-3.18185609
Urras Oighreachd Ghabhsainn,"(58.44136894, -6.39267466)",HS2 0SH,58.44136894,-6.39267466
Valley Renewables Group,"(56.08648079, -3.9534621)",FK7 9QB,56.08648079,-3.9534621
WAT IF,"(55.780797, -3.553369)",,55.780797,-3.553369
WHALE Arts Agency,"(55.91356159, -3.28854077)",EH14 2SA,55.91356159,-3.28854077
West Ardnamurchan Community Development Company ,"(56.74375206, -6.17355239)",PH36 4LW,56.74375206,-6.17355239
West Calder and Harburn Community Development Trust Ltd,"(55.8490742, -3.57475196)",EH55 8DZ,55.8490742,-3.57475196
West Granton Community Trust,"(55.97576005, -3.24392793)",EH4 4GA,55.97576005,-3.24392793
West Harris Trust,"(57.85763392, -6.99478845)",HS3 3AE,57.85763392,-6.99478845
West Kilbride Community Initiative Ltd,"(55.69570779, -4.85539206)",KA23 9AW,55.69570779,-4.85539206
Wester Loch Ewe Trust,"(57.82038382, -5.6684263)",IV22 2LR,57.82038382,-5.6684263
Westray Development Trust,"(59.32240683, -2.9881327)",KW17 2DF,59.32240683,-2.9881327
Whitburn & District Community Development Trust,"(55.8661353, -3.68754666)",EH47 0QD,55.8661353,-3.68754666
Wick Development Trust,"(58.389975, -3.136243)",KW1 4TQ,58.389975,-3.136243
Winchburgh Community Development Trust,"(55.96187633, -3.45793323)",EH52 6WP,55.96187633,-3.45793323
Woodlands Community Development Trust,"(55.87065222, -4.27244094)",G3 6HW,55.87065222,-4.27244094
