Charity Name,Charity Number,Postcode,Latitude,Longitude,Main Operating Location
Maryculter Trinity Church Of Scotland,SC013648,AB12 5FS,57.08384663,-2.23445792,Aberdeenshire
Blackhall Mother & Toddler Group,SC013652,EH4 3NH,55.95597136,-3.25216628,City of Edinburgh
Papa Westray Church of Scotland,SC013661,KW17 2BU,59.34739312,-2.89322046,Orkney Islands
Scots Mining Company House Trust,SC013667,ML12 6XP,55.4156219,-3.76120745,South Lanarkshire
Saline & Blairingone Parish Church Of Scotland,SC013688,KY12 9UJ,56.11697525,-3.57808915,Fife
Catrine Parish Church of Scotland,SC013689,KA5 6BJ,55.51449577,-4.37197907,East Ayrshire
"Pollokshields Church of Scotland, Glasgow",SC013690,G52 3AR,55.83979411,-4.33738755,Glasgow City
Association Of Local Voluntary Organisations (Rural South Lanarkshire),SC013691,ML11 7LZ,55.67430715,-3.78188011,South Lanarkshire
Girlguiding Inverness-shire,SC013694,IV2 5PT,57.52513158,-4.0356703,Highland
Perth Newstape For The Blind,SC013698,PH1 1EW,56.39331269,-3.47569574,Perth & Kinross
John Tait Trust,SC013706,KW17 2EX,59.05077116,-3.07006112,Orkney Islands
Brora Primary Parent Council,SC013711,KW9 6PL,58.00777702,-3.8581639,Highland
Islay Natural History Trust,SC013713,PA48 7TX,55.73954933,-6.37842513,Argyll & Bute
Dornoch and District Community Association,SC013716,IV25 3BG,57.88176913,-4.02323618,Highland
Auchtertool Playgroup,SC013723,KY2 5XJ,56.10219336,-3.25197428,Fife
Edinburgh Society Of Organists,SC013728,EH11 1LG,55.93623852,-3.22180173,City of Edinburgh
Norlin Playgroup (SCIO),SC013738,KW1 4JQ,58.44519477,-3.07885113,Highland
Chessels Court Area Association,SC013741,EH8 8AD,55.95033472,-3.18241839,City of Edinburgh
St Columbas Parish Church Of Scotland: Kilbirnie,SC013750,KA25 7DT,55.75682583,-4.6811044,North Ayrshire
The Evans Trust,SC013755,EH12 8HD,55.94362001,-3.2986656,East Lothian
James Milne Institute,SC013756,IV36 3YE,57.66069062,-3.61373208,Moray
St Kane's Early Learning and Childcare Centre,SC013759,AB53 6TB,57.51319715,-2.19289263,Aberdeenshire
Heiton Village Hall,SC013764,TD5 8JR,55.56920562,-2.45689523,Scottish Borders
Crossroads Care & Support,SC013765,DG8 9EH,54.86790146,-4.44238211,Dumfries & Galloway
The Hope Park Trust ,SC013769,PH10 7HU,56.60081897,-3.33958856,Perth & Kinross
Lochaber Citizens Advice Bureau,SC013779,PH33 6JB,56.81835511,-5.10833419,Highland
Relationships Scotland - Family Mediation Highland,SC013780,IV1 1EH,57.47893103,-4.22651093,Highland
North Merchiston Club,SC013785,EH11 1EP,55.93708704,-3.22322121,City of Edinburgh
Locharbriggs Community Centre Association,SC013786,DG1 1UH,55.10731903,-3.58279523,Dumfries & Galloway
Moredun Community Association,SC013788,EH17 7HT,55.91205904,-3.1304902,City of Edinburgh
Harray Community Association,SC013811,KW17 2LE,59.03902426,-3.21278552,Orkney Islands
Whiteness & Weisdale Hall,SC013823,ZE2 9LQ,60.23340708,-1.30114331,Shetland Islands
"St Marys Episcopal Church, Auchindoir",SC013831,AB54 4PL,57.30513638,-2.75738776,Aberdeenshire
Friends Of Morningside Parish Church,SC013837,EH10 6HE,55.91148138,-3.21291176,City of Edinburgh
Wick St Fergus Church of Scotland,SC013840,KW1 5SB,58.42962978,-3.11550037,Highland
Wishaw Craigneuk and Belhaven Church of Scotland,SC013841,ML2 8PL,55.77978296,-3.89427937,North Lanarkshire
Innerpeffray Mortification,SC013843,PH7 3RF,56.34697333,-3.76888846,Perth & Kinross
Brisbane Evangelical Church,SC013844,KA30 8BB,55.79552364,-4.86772372,North Ayrshire
St James Episcopal Church Cruden: Cruden Bay,SC013851,AB42 0NL,57.41681434,-1.86129819,Aberdeenshire
East Kilbride South Congregation Of Jehovah’s Witnesses,SC013856,G75 8YR,55.75203109,-4.23243669,South Lanarkshire
Crescent Playgroup,SC013861,EH22 1HJ,55.8921113,-3.07327335,Midlothian
Presbytery of Wigtown and Stranraer,SC013865,DG9 0AP,54.90651062,-5.03968929,Dumfries & Galloway
Fet-Lor Youth Club,SC013866,EH4 2NY,55.96794236,-3.23412816,City of Edinburgh
Lady Park Trustees Linlithgow,SC013876,EH49 6EJ,55.96840056,-3.61567999,West Lothian
"Loudoun Church of Scotland, Newmilns",SC013880,KA16 9EW,55.60993417,-4.33107215,East Ayrshire
Skye & Lochalsh Council For Voluntary Organisations,SC013885,IV51 9ER,57.41336293,-6.19705354,Highland
Viewpark Church Of The Nazarene,SC013886,G71 5JJ,55.82975672,-4.06198145,North Lanarkshire
Auchnagatt & District Playgroup,SC013888,AB41 9LJ,57.36305234,-2.0756574,Aberdeenshire
Governors Of Dean Orphanage & Cauvins Trust,SC013890,EH12 8AT,55.94291626,-3.28178208,City of Edinburgh
"Trinity Parish Church, Hawick (Church of Scotland)",SC013892,TD9 9JF,55.42225046,-2.78254931,Scottish Borders
James Rhind Trust,SC013893,AB42 1TS,57.50640652,-1.77921963,Aberdeenshire
Arbroath Guildry Incorporation,SC013900,DD11 5SP,56.6090802,-2.52095806,Angus
East Green Nursery And Out Of School Club,SC013907,TD4 6HG,55.63870874,-2.67310044,Scottish Borders
Kirkintilloch Baptist Church,SC013909,G66 1NL,55.93757546,-4.15428331,East Dunbartonshire
Ayr Pipe Band Society,SC013912,KA5 5AL,55.51415776,-4.38013229,South Ayrshire
"St Martins Church of Scotland, Portobello, Edinburgh",SC013918,EH15 3HD,55.93551926,-3.11777488,City of Edinburgh
Astronomical Society Of Edinburgh Trust,SC013921,EH8 7HD,55.95338587,-3.14863885,City of Edinburgh
Friends of The Stephen Hospital Dufftown and Rinnes Medical Group,SC013923,AB55 4FS,57.44902836,-3.13018262,Moray
Kirkliston Parish Church of Scotland,SC013924,EH29 9HA,55.95756346,-3.40925327,West Lothian
East Kilbride Arts Council,SC013930,G74 4SJ,55.77599636,-4.20931453,South Lanarkshire
"Applegarth, Sibbaldbie & Johnstone Church of Scotland",SC013947,DG11 2DF,55.11398635,-3.35645785,Dumfries & Galloway
Border Women's Aid Ltd,SC013951,TD9 0BN,55.41707636,-2.79066143,Scottish Borders
King George V Playing Field Kinross Management Committee,SC013953,KY13 8AU,56.21225036,-3.42651828,Perth & Kinross
Gilmerton Community Centre,SC013955,EH17 8QG,55.90629859,-3.13448151,City of Edinburgh
Livister Youth Centre,SC013959,ZE2 9AN,60.37211726,-0.96984455,Shetland Islands
"Glasgow Cathedral (St Mungo's or High), Church of Scotland",SC013966,G41 4HQ,55.84073701,-4.29736876,Glasgow City
Westmuir Hall Association,SC013967,DD8 5BB,56.6625277,-3.03839984,Angus
St Andrews Church Of Scotland: Carluke,SC013968,ML8 5EB,55.73622931,-3.84132555,South Lanarkshire
Echt Skene & Midmar Agricultural Association,SC013971,AB32 6XD,57.12694417,-2.41035984,Aberdeenshire
Dundee Age Concern,SC013975,DD3 8AW,56.47575823,-2.97997965,Dundee City
Cameron Highlanders War Memorial Fund,SC013977,IV3 5DN,57.47578609,-4.23362522,Highland
Gargunnock Playgroup,SC013990,FK8 3BZ,56.12434881,-4.08965986,Stirling
Cloch Housing Association Limited,SC013996,PA15 1ER,55.94467938,-4.75310243,Inverclyde
Grangemouth Old Peoples Welfare Committee,SC014001,FK3 8HU,56.01794514,-3.72093992,Falkirk
Aberdeen Incorporation Of Tailors - James Milne Mortification,SC014002,AB15 9NY,57.11721079,-2.19746514,Aberdeen
Whiting Bay & Kildonan Church Of Scotland,SC014005,KA27 8FF,55.48505267,-5.09632273,North Ayrshire
Simpson Trust,SC014008,AB45 1AN,57.66386525,-2.52352697,Aberdeenshire
Firrhill High School Fund,SC014013,EH14 1DP,55.91483594,-3.23789595,City of Edinburgh
Dulnain Bridge Church Of Scotland,SC014015,PH23 3BH,57.2848346,-3.81214544,Highland
Helensburgh United Reformed Church,SC014017,G84 9DA,56.01204981,-4.7235271,Argyll & Bute
Ellisland Meeting Room Trust,SC014020,G43 2TF,55.81291407,-4.28420458,Glasgow City
Longniddry Playgroup,SC014022,EH32 9GQ,55.94961287,-2.99351497,East Lothian
"Trinity Church of Scotland, Leslie",SC014025,KY6 3BP,56.19979691,-3.21904833,Fife
"Church of Scotland, Reid Memorial Church, Edinburgh",SC014027,EH9 3HY,55.92687971,-3.18365641,City of Edinburgh
Lecropt Kirk Parish Church of Scotland,SC014031,FK15 9NZ,56.17395503,-4.02656248,Stirling
Kelso North and Ednam Parish Church of Scotland,SC014039,TD5 7JH,55.59990715,-2.4350976,Scottish Borders
Tranent & District Childrens Gala Day Committee,SC014046,EH33 1JT,55.9453025,-2.94288773,East Lothian
Home-Start East Highland Ltd,SC014048,IV18 0SA,57.69549871,-4.1682862,Highland
Spean Bridge Community Centre,SC014053,PH34 4EX,56.88759688,-4.96528026,Highland
Lugar Parish Church of Scotland,SC014055,KA18 3LB,55.46260146,-4.23577377,East Ayrshire
Church Of Scotland Presbytery Of Orkney,SC014056,KW17 2AT,59.14134235,-2.63739132,Orkney Islands
Duffus Village Hall & Playing Field Association,SC014059,IV30 5RR,57.69977379,-3.39500277,Moray
Grange Community Association,SC014060,AB55 6LJ,57.54547503,-2.8793008,Moray
St Marys Episcopal Church: Aberdeen,SC014062,AB10 1UN,57.14385149,-2.12248534,Aberdeen
Auchnagatt Village Hall Management Committee,SC014064,AB41 8YL,57.44596498,-2.11848078,Aberdeenshire
Madderty Community Association,SC014071,PH7 3PJ,56.36180324,-3.702574,Perth & Kinross
Kilmuir and Stenscholl Church of Scotland,SC014072,IV51 9YS,57.65020423,-6.39525602,Highland
Cowdenbeath Congregation Of Jehovahs Witnesses,SC014086,KY4 9NA,56.11377173,-3.34545056,Fife
Old Glenalmond Club Scholarship Fund,SC014091,DD1 1LN,56.462166,-2.97295954,Dundee City
Vale of Leven Baptist Church,SC014092,G83 8EW,56.00716153,-4.56899545,West Dunbartonshire
Guildtown Playgroup,SC014097,PH2 6HY,56.48386259,-3.30677022,Perth & Kinross
Gannochy Sports Pavilion (Perth) Ltd,SC014104,PH2 7HB,56.40042555,-3.42373141,Perth & Kinross
Elgin Amateur Dramatic Society,SC014108,IV30 6GT,57.63351897,-3.299975,Moray
Stranraer Congregation Of Jehovahs Witnesses,SC014111,DG9 7EL,54.90473068,-5.02420201,Dumfries & Galloway
Aboyne-Dinnet Parish Church Of Scotland,SC014112,AB34 5JZ,57.07689844,-2.80073169,Aberdeenshire
Penicuik House Preservation Trust,SC014118,EH25 9RD,55.86446877,-3.18618333,Midlothian
Royal British Legion Scotland Aberdeen Branch,SC014119,AB10 1BD,57.14745859,-2.09631943,Aberdeen
The Church of Scotland - Aberdeen: St Stephens Church,SC014120,AB23 8LN,57.20233759,-2.10498643,Aberdeen
The Cochrane Foundation,SC014124,FK12 5ES,56.15345214,-3.79751313,Clackmannanshire
Stills Ltd,SC014136,EH1 1BP,55.95074409,-3.19029391,City of Edinburgh
Longniddry Community Centre Association,SC014138,EH32 0LD,55.9770252,-2.89770072,East Lothian
Edinburgh Christadelphian Ecclesia,SC014140,EH7 4AB,55.95902385,-3.18426912,City of Edinburgh
Kirkconnel Parish Church of Scotland,SC014150,DG4 6PH,55.38700572,-4.00677307,Dumfries & Galloway
St Leonards Episcopal Church: Lasswade,SC014151,EH19 2EL,55.8809488,-3.10002852,Midlothian
Penicuik Community Arts Association,SC014154,EH26 9DL,55.82574295,-3.22266093,Midlothian
Dalkeith: St Nicholas Buccleuch Parish Church (Church of Scotland),SC014158,EH22 3EZ,55.88636263,-3.08432196,Midlothian
Maxholme Pre School Playgroup,SC014163,G62 8AJ,55.94409987,-4.31573931,East Dunbartonshire
Forfar Day Care Centre,SC014170,DD8 2BB,56.64065336,-2.88332431,Angus
Saughtonhall United Reformed Church,SC014175,EH12 5TR,55.94203394,-3.25136418,City of Edinburgh
Teviotdale Fund,SC014183,DD11 1HL,56.55894893,-2.58186428,Angus
Dalkeith Old Peoples Welfare Committee,SC014185,EH22 2HF,55.89466338,-3.04822199,Midlothian
Dunkeld & Birnam Playgroup,SC014187,PH8 0AE,56.56238249,-3.58402678,Perth & Kinross
Newcraigs Evangelical Church,SC014189,KY2 6TY,56.12361183,-3.20249723,Fife
Lochcarron Parent & Toddler Group,SC014191,IV54 8UF,57.40631643,-5.47967912,Highland
Dunscore Pre School Centre,SC014199,DG2 0SY,55.13918851,-3.77511613,Dumfries & Galloway
Cupar Pre School Playgroup,SC014204,KY15 4LS,56.31934931,-3.01077801,Fife
"Stepps Parish Church of Scotland, Stepps",SC014212,G33 6BL,55.89120978,-4.14765031,North Lanarkshire
Aberdeenshire Voluntary Action ,SC014223,AB41 9AR,57.36460596,-2.07629232,Aberdeenshire
St Finnians Scottish Episcopal Church Lochgelly: Lochgelly,SC014224,KY4 9EZ,56.12202432,-3.34673602,Fife
Garvald Edinburgh,SC014228,EH11 3AL,55.93104536,-3.25393904,City of Edinburgh
Shotts EU Congregational Church,SC014231,ML7 4DT,55.82173566,-3.80326918,North Lanarkshire
Fortrose Pre School Limited,SC014259,IV10 8TJ,57.58115207,-4.12618205,Highland
Guildry Of Stirling Charitable Trust,SC014263,FK9 5NF,56.12590942,-3.91876143,Stirling
Westhill & District Senior Citizens Club,SC014265,AB32 6FS,57.15274573,-2.27481125,Aberdeenshire
Cottage Family Centre,SC014271,KY2 6LH,56.12470186,-3.18641249,Fife
Dundee Glenesk Congregation Of Jehovahs Witnesses,SC014280,DD2 3FQ,56.4715578,-3.00417156,Dundee City
Murthly Village Hall Management Committee,SC014286,PH1 4EH,56.53222619,-3.46481874,Perth & Kinross
Possobilities Limited,SC014288,G22 5ST,55.88525428,-4.25106742,Glasgow City
St Peters Episcopal Church: Dalry,SC014289,KA13 6LH,55.65299789,-4.71255138,North Ayrshire
Malcolm Ferguson Trust,SC014290,PH15 2HB,56.58217709,-3.99143566,Perth & Kinross
Dunglass Parish Church (Church of Scotland),SC014299,EH42 1RX,55.97353608,-2.47815559,Scottish Borders
Bathgate E U United Reformed Church,SC014304,EH48 4DN,55.90793375,-3.63536907,West Lothian
Wigtown Agricultural Society,SC014308,DG8 7EN,54.90543029,-4.3858887,Dumfries & Galloway
The Steeple Church: Dundee (Church of Scotland),SC014314,DD1 4DG,56.45805525,-2.97472049,Dundee City
13th Fife (Rosyth Methodist) Scout Group,SC014318,KY11 8LU,56.05668719,-3.39637498,Fife
Inveraray Nursing Fund,SC014341,PA32 8UG,56.22954384,-5.07305173,Argyll & Bute
Sandwick Youth & Community Centre,SC014370,ZE2 9HL,59.99714718,-1.25674128,Shetland Islands
Burntisland Playgroup,SC014372,KY3 9HA,56.06570723,-3.227485,Fife
St Colmon (Arnsheen Barrhill And Colmonell) Church of Scotland,SC014381,KA26 0RU,55.14546221,-4.8572301,South Ayrshire
Bearsden Horticultural Society,SC014384,G61 2EW,55.91629115,-4.31915352,East Dunbartonshire
St Annes Episcopal Church: Coupar-Angus,SC014389,PH13 9HN,56.55990914,-3.29829425,Perth & Kinross
Livingston Village Community Education Centre Assoc,SC014391,EH54 7EQ,55.88716591,-3.54286142,West Lothian
Haddington Congregation Of Jehovahs Witnesses,SC014395,EH41 4DB,55.95176113,-2.77994043,East Lothian
Kemnay Village Hall Management Committee,SC014396,AB51 5GZ,57.23526683,-2.44830613,Aberdeenshire
Parkhead Citizens Advice Bureau,SC014413,G31 4DN,55.85222059,-4.19967566,Glasgow City
Glasgow: Kelvinbridge Parish Church (Church Of Scotland),SC014414,ML9 2EL,55.73948222,-3.96600111,Glasgow City
Kirkcudbright Harbour Cottage Trust,SC014415,DG6 4JX,54.83649302,-4.05483392,Dumfries & Galloway
Loanhead Parish Church (Church of Scotland),SC014420,EH20 9AJ,55.87639154,-3.156082,Midlothian
Penicuik Citizens Advice Bureau,SC014421,EH26 8AB,55.82746296,-3.22228388,Midlothian
Bellshill & Mossend YMCA,SC014426,ML4 1AB,55.81874964,-4.02181187,North Lanarkshire
Knockando Elchies & Archieston Parish Church of Scotland,SC014428,AB37 9BQ,57.42485167,-3.37198633,Moray
The Salisbury Centre,SC014432,EH16 5AB,55.93758355,-3.17593042,City of Edinburgh
Mouswald Trust,SC014437,DG1 1LN,55.07069481,-3.60690888,Dumfries & Galloway
Coupar Angus Abbey Church of Scotland,SC014438,PH13 9EH,56.54513914,-3.2712608,Perth & Kinross
Janet M Stirling's Trust,SC014439,KA10 6AB,55.54328271,-4.66532125,South Ayrshire
Friends Of The Edington Hospital North Berwick,SC014443,EH39 4PU,56.0554536,-2.71677726,East Lothian
St Fillans Episcopal Church: Kilmacolm,SC014462,PA13 4LH,55.89092641,-4.63323276,Inverclyde
Knockbain Parish Church Of Scotland,SC014467,IV10 8UP,57.59229253,-4.1166088,Highland
71st (St Annes) Craigalmond Scout Group,SC014481,EH12 6LL,55.94689581,-3.27669335,City of Edinburgh
Logos Centre Ltd,SC014482,PH7 3HU,56.37269699,-3.84004906,Perth & Kinross
Northfield United Free Church,SC014484,AB16 5UY,57.16458607,-2.16063201,Aberdeen
Portknockie Parish Church of Scotland,SC014485,AB56 4LW,57.70186379,-2.86384304,Moray
Rotary Club Of Galashiels Trust Fund,SC014488,TD1 2AT,55.61443609,-2.79515352,Scottish Borders
St Johns Episcopal Church: Annan,SC014491,DG12 5PL,54.97658307,-3.33305548,Dumfries & Galloway
Knock Church Of Scotland,SC014492,HS2 0EP,58.24195986,-6.16547029,Western Isles
Skeld & District Village Hall,SC014497,ZE2 9NL,60.17916993,-1.45117125,Shetland Islands
"Priestfield Parish Church of Scotland, Edinburgh",SC014499,EH16 5HW,55.93640547,-3.16942732,City of Edinburgh
Tulliallan Family Council,SC014510,FK10 4PB,56.06672346,-3.71048716,Fife
"Church Of The Nazarene, Irvine",SC014513,KA11 3AN,55.61346563,-4.59502793,North Ayrshire
Righead United Reformed Church,SC014527,G74 4SU,55.7722301,-4.18724199,South Lanarkshire
The Presbytery Of Perth,SC014528,PH2 0BH,56.38368144,-3.43815279,Perth & Kinross
Johnstone Band,SC014530,ML1 3AA,55.78823772,-3.99381736,Renfrewshire
Provincial Grand Lodge Of Moray & Nairn Benevolent Fund,SC014533,KW15 1RL,58.97390073,-2.95907265,Moray
Haggs Parish Church Of Scotland,SC014536,FK4 1SW,55.98742521,-3.95493922,Falkirk
Kyle Of Sutherland Heritage Society,SC014547,IV24 3DJ,57.87137198,-4.35269765,Highland
Airdrie: Cairnlea Parish Church of Scotland,SC014555,ML6 7ES,55.86934122,-3.95935738,North Lanarkshire
Kinloss & Findhorn Parish Church Of Scotland,SC014557,IV36 2JZ,57.58020529,-3.55711544,Moray
Neilston Society For Charity,SC014560,G78 1ES,55.80129832,-4.408225,East Renfrewshire
John Burnett's Mortification (Kinnadie Estate),SC014563,AB15 9SX,57.11722274,-2.1774845,Aberdeen
League Of Friends Of Adamson Hospital,SC014565,KY15 5JF,56.31340454,-3.01039462,Fife
The Grove Christian Centre SCIO,SC014571,G22 5EP,55.88267447,-4.25403601,Glasgow City
King George V Memorial Playing Field Rothiemay Trust,SC014575,AB54 7LT,57.5221289,-2.75734047,Moray
Elie Harbour Trust Ltd,SC014576,KY9 1AX,56.1906383,-2.82619278,Fife
St Magnus Episcopal Church: Lerwick,SC014584,ZE2 9HX,59.97192545,-1.27149365,Shetland Islands
Lochend And New Abbey Church Of Scotland,SC014590,DG2 8DQ,54.96215055,-3.58807718,Dumfries & Galloway
Association Of Deacons Of The Fourteen Incorporated Trades Of Glasgow,SC014595,G2 6PH,55.86089271,-4.25823932,Glasgow City
Arran Society Of Glasgow,SC014603,G5 0SJ,55.84756908,-4.25356835,South Ayrshire
Church Of Scotland Parishes Of Upper Tweeddale,SC014617,ML12 6HQ,55.61044981,-3.4094916,Scottish Borders
New Pitsligo Parish Church of Scotland,SC014620,AB43 6NL,57.59526932,-2.1989485,Aberdeenshire
Lodge St Paul No 204 Benevolent Fund,SC014623,KA8 8LY,55.47908855,-4.62310899,South Ayrshire
Bettyhill & District Pipe Band Association,SC014632,KW14 7SA,58.55121772,-4.08564242,Highland
Springbank Evangelical Church,SC014646,PA28 6DY,55.4289008,-5.60218612,Argyll & Bute
Arniston Playgroup,SC014648,EH23 4DT,55.84531858,-3.0425652,Midlothian
Tongue Village Hall Committee,SC014656,IV27 4XF,58.47598518,-4.41736701,Highland
Tiree Assoc Of Glasgow John Maclean Scholarship,SC014657,G66 4SP,55.92015344,-4.1760271,Argyll & Bute
Crossford Church Of Scotland,SC014659,ML11 9UP,55.67608811,-3.83542894,South Lanarkshire
Walls Public Hall Trust,SC014660,ZE2 9PJ,60.24222705,-1.55643843,Shetland Islands
Glencairn & Moniaive Parish Church of Scotland,SC014663,DG3 4HH,55.19689737,-3.91579224,Dumfries & Galloway
Stoneybridge Community Hall Committee,SC014666,HS8 5SG,57.28849699,-7.38041184,Western Isles
Knockando Playgroup,SC014667,AB38 7RX,57.46803196,-3.36076639,Moray
Roy Bridge Memorial Hall,SC014673,PH31 4AG,56.88807514,-4.83717459,Highland
Upper Donside Parish Church Of Scotland,SC014679,AB33 8RN,57.20316251,-2.93061694,Aberdeenshire
St Adamnans Episcopal Church Duror: Oban,SC014689,PA34 5JJ,56.42085253,-5.46786896,City of Edinburgh
Miss Alicia Sutherland Trust,SC014692,AB13 0EG,57.10931205,-2.24010006,Aberdeenshire
Virkie Mother & Toddler Group,SC014694,ZE3 9JW,59.87365937,-1.30572082,Shetland Islands
Dr William Halliday Welsh Educational And Historical Trust,SC014702,FK9 4TJ,56.14585227,-3.94048902,Stirling
Strathkinness Parish Church Of Scotland,SC014710,KY16 9XT,56.33645393,-2.86769272,Fife
Edinburgh: Corstorphine Craigsbank Parish Church (Church of Scotland),SC014719,EH12 8HD,55.94362001,-3.2986656,City of Edinburgh
St Margarets Church: Aberlour,SC014728,AB38 9QS,57.5145868,-3.18898433,Moray
Stewartry Council Of Voluntary Service,SC014734,DG6 4EG,54.83824621,-4.04629559,Dumfries & Galloway
Milton Of Campsie Parish Church of Scotland,SC014735,G66 8HH,55.95834965,-4.16629952,East Dunbartonshire
Ross & Cromarty Citizens Advice Bureau,SC014736,IV17 0UD,57.69539437,-4.24788649,Highland
Strathmore Christian Fellowship,SC014737,DD8 4DW,56.67632172,-2.99172717,Angus
Shettleston Baptist Church,SC014742,G32 9NH,55.84115004,-4.14667721,Glasgow City
Kilmonivaig Parish Church of Scotland,SC014745,PH34 4EZ,56.89234563,-4.91707943,Highland
Dumfries Day Centre for Older People,SC014747,DG1 2JX,55.06716892,-3.60576527,Dumfries & Galloway
Skelmorlie Brown-Hoyes Memorial Trust,SC014748,PA17 5DS,55.87279006,-4.88824179,North Ayrshire
Langholm And District Day Centre For Older People,SC014753,DG13 0AA,55.15073193,-3.00073721,Dumfries & Galloway
Edinburgh Barclay Viewforth Church of Scotland,SC014757,EH10 4HR,55.93993814,-3.20379496,City of Edinburgh
St Ninians Episcopal Church: Glenurquhart,SC014759,IV63 6TJ,57.33795143,-4.58439557,Highland
Rutherglen Benevolent Fund,SC014764,G73 3SA,55.81809384,-4.20228243,South Lanarkshire
Tarbolton Parish Church of Scotland,SC014767,KA5 5LY,55.51777395,-4.49729603,South Ayrshire
Durisdeer Church of Scotland,SC014783,DG3 5NB,55.24047492,-3.76094137,Dumfries & Galloway
Ravenstruther and Cleghorn Hall Association,SC014789,ML11 7SS,55.68517383,-3.72323181,South Lanarkshire
Kemnay Parish Church of Scotland,SC014790,AB52 6YL,57.36511605,-2.72228194,Aberdeenshire
Inverness Reformed Baptist Church,SC014800,IV3 5QH,57.47839189,-4.23717056,Highland
Ormiston Parish Church (Church of Scotland),SC014810,EH35 5HT,55.91338944,-2.93785724,East Lothian
Glenurquhart Free Church Of Scotland,SC014814,IV3 5NQ,57.47529849,-4.22817463,Highland
Pier Arts Centre,SC014815,KW16 3AA,58.96335035,-3.29769572,Orkney Islands
"Camelon Parish Church, Church of Scotland",SC014816,FK1 4BN,56.00432678,-3.80788617,Falkirk
28th Glasgow Giffnock Scouts Group,SC014819,G46 6LS,55.80198896,-4.29076099,East Renfrewshire
United Reformed Church Coaltown,SC014822,KY11 9SS,56.03425359,-3.35579429,Fife
Laurencekirk Church of Scotland,SC014830,DD10 9LD,56.76211497,-2.5068339,Aberdeenshire
Renton Trinity Parish Church of Scotland,SC014833,G82 4LY,55.96828729,-4.58364555,West Dunbartonshire
St Fillans Playgroup,SC014841,EH10 7JQ,55.9028335,-3.19491973,City of Edinburgh
Perth Congregational Church,SC014847,PH1 1LU,56.39907369,-3.46191944,Perth & Kinross
Bourtree Pre-School Playgroup & Parent/Toddler Group,SC014850,AB12 4UF,57.05583475,-2.14004874,Aberdeenshire
Glasgow Dean Of Guild Court Trust,SC014851,G2 1BA,55.86162319,-4.25172952,Glasgow City
Lodge New Monkland Montrose No 88 Benevolent Fund,SC014865,ML5 1NE,55.86164187,-4.0431843,North Lanarkshire
Port Of Menteith Village Hall,SC014871,FK8 3RD,56.18002059,-4.31319041,Stirling
Cardross Scouts Group,SC014872,G82 5NW,55.96116384,-4.65362649,Argyll & Bute
Community Of Feuars Of The Town Of Peterhead,SC014875,AB42 1HY,57.50522677,-1.77749121,Aberdeenshire
Council on Disability Stirling,SC014879,FK8 2DX,56.11617198,-3.93521424,Stirling
Sandison Halls St Fillans,SC014890,PH6 2NA,56.3923099,-4.11093066,Perth & Kinross
"Kinning Park Parish Church of Scotland, Glasgow",SC014895,G41 4RR,55.83787005,-4.30072929,Glasgow City
Friends of The North East of Scotland Music School,SC014898,AB22 8WF,57.18898875,-2.12476932,Aberdeen
Giffnock Theatre Players,SC014906,G46 6JX,55.80097648,-4.29492991,East Renfrewshire
Beaver Lodge Disabled Club,SC014909,G12 9UD,55.8796474,-4.30919669,Renfrewshire
Merry-Go-Round Playgroup,SC014911,PH4 1RD,56.26909196,-3.75379358,Perth & Kinross
10th Leith Boys Brigade Company,SC014912,EH6 7PW,55.96888353,-3.15271901,City of Edinburgh
Old Rayne Community Association,SC014914,AB52 6EA,57.34498367,-2.54408443,Aberdeenshire
The Edinburgh Cat Protection League,SC014916,EH6 5HA,55.97019642,-3.17355506,City of Edinburgh
Dornoch Free Church of Scotland,SC014926,IV25 3QQ,57.92190936,-4.03908677,City of Edinburgh
Bruce Charitable Trust,SC014927,DD1 3JA,56.46229987,-2.96038582,Fife
Kyles Parish Church (Church of Scotland),SC014928,PA21 2AB,55.89182311,-5.24578905,Argyll & Bute
Gray-Sanderson Trust,SC014930,TD1 1BY,55.61777518,-2.80670067,Scottish Borders
Hope Park and Martyrs' Parish Church St Andrews,SC014934,KY16 9UY,56.34005576,-2.79975268,Fife
Christ Church Lanark,SC014937,ML11 9BG,55.66802727,-3.75807823,South Lanarkshire
South Ayrshire Disabled Club,SC014942,KA6 7TP,55.31105851,-4.3989439,East Ayrshire
Girls Brigade - 11th Edinburgh & Lothians Company,SC014946,EH7 4QZ,55.97059063,-3.19795331,City of Edinburgh
Dundee International Womens Centre,SC014949,DD3 7PY,56.47199116,-2.96192918,Dundee City
53rd City Of Aberdeen Scout Group,SC014952,AB15 7RL,57.12945713,-2.14278838,Aberdeen
Stirling City Choir,SC014953,FK8 3PJ,56.17384643,-4.14945897,Stirling
Haddington Concert Society,SC014962,EH41 4BE,55.95554841,-2.77064748,East Lothian
The Woodcock Bequest,SC014963,KY16 9PF,56.34057761,-2.798243,Fife
"St Madoes and Kinfauns Church of Scotland, Glencarse",SC014964,PH2 7TZ,56.37114438,-3.30609847,Perth & Kinross
All Saints Episcopal Church Fyvie,SC014967,AB53 8LT,57.43863188,-2.34811425,Aberdeenshire
Garvald and Morham Parish Church (Church of Scotland),SC014972,EH41 4PF,55.91929518,-2.70123723,East Lothian
