Mean SIMD Decile,Local charities per 1000 people,max,min,Range
1,1.14,1.14,1.14,"[1.14, 1.14]"
2,1.378,2.87,0.77,"[0.77, 2.87]"
3,1.427,2.95,0.46,"[0.46, 2.95]"
4,2.072,4.54,0.36,"[0.36, 4.54]"
5,2.464,3.39,0.85,"[0.85, 3.39]"
6,1.825,2.06,1.59,"[1.59, 2.06]"
7,3.275,3.69,2.86,"[2.86, 3.69]"
8,1.21,1.21,1.21,"[1.21, 1.21]"
9,1.63,1.63,1.63,"[1.63, 1.63]"
