Name,Longitude,Latitude,postcode,Local authority
Dalmellington/Patna Mutual Aid and Community Support,-4.399467899999999,55.323941,KA6 7SG,East Ayrshire
Dalmellington/Patna Mutual Aid and Community Support,-4.399467899999999,55.323941,KA6 7SG,East Ayrshire
Darvel Corona Virus Support Team,-4.286513,55.609843,KA17 0HE,East Ayrshire
Auchinleck Covid 19 Mutual Aid,-4.2985659,55.473388,KA18 2BU,East Ayrshire
Kilmarnock Covid-19 Mutual Aid Group,-4.498792,55.614719,KA1 3HY,East Ayrshire
COVID-19 Mutual Aid Knockentiber,-4.545804899999999,55.619611,KA2 0DA,East Ayrshire
