Mean SIMD Decile,Community spaces per 1000 people,max,min,Range
1,0.23,0.23,0.23,"[0.23, 0.23]"
2,0.805,1.04,0.39,"[0.39, 1.04]"
3,0.418,0.74,0.18,"[0.18, 0.74]"
4,0.434,1.07,0.0,"[0.0, 1.07]"
5,0.686,1.3,0.4,"[0.4, 1.3]"
6,0.7,0.77,0.63,"[0.63, 0.77]"
7,0.45,0.74,0.16,"[0.16, 0.74]"
8,0.0,0.0,0.0,"[0.0, 0.0]"
9,0.16,0.16,0.16,"[0.16, 0.16]"
