Mean SIMD Decile,Businesses per 1000 people,max,min,Range
1,16.0,16.0,16.0,"[16.0, 16.0]"
2,27.25,32.0,25.0,"[25.0, 32.0]"
3,20.0,34.0,10.0,"[10.0, 34.0]"
4,48.5,130.0,8.0,"[8.0, 130.0]"
5,29.0,51.0,16.0,"[16.0, 51.0]"
6,31.0,35.0,27.0,"[27.0, 35.0]"
7,54.5,68.0,41.0,"[41.0, 68.0]"
8,24.0,24.0,24.0,"[24.0, 24.0]"
9,26.0,26.0,26.0,"[26.0, 26.0]"
